variant,vm,file_bytes,macho_text_bytes,run_bytes
r0,rxvm,982392,806136,537680
r0,rxbvm,982552,805004,535872
r1,rxvm,982392,802820,534364
r1,rxbvm,982552,801652,532520
r2,rxvm,998936,804900,534516
r2,rxbvm,999144,803736,532676
