workload,total_static_sites,private_eligible_sites
base64-v1,50,0
base64-v2,7,0
bounce,66,2
json-legacy,6,0
json-parse,13,0
json-query,13,0
list,33,14
mandelbrot,15,0
mandelbrot-hoisted,12,0
nbody,44,7
permute,60,0
queens,106,0
rexxcps,132,0
richards,594,2
sieve,11,0
storage,32,0
towers,88,9
