workload,vm,entry,rank,procedure,module,kind,calls,total_ns,average_ns
Sieve,rxvm,sieve-opt,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,170906000,170906000
Sieve,rxbvm,sieve-opt,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,171897125,171897125
Bounce,rxvm,bounce-opt,1,awfy_bounce.main,benchmark_awfy_bounce_opt,procedure,1,895127416,895127416
Bounce,rxvm,bounce-opt,2,awfy_bounce.bouncebenchmark.run,benchmark_awfy_bounce_opt,method,100,894996118,8949961
Bounce,rxvm,bounce-opt,3,awfy_bounce.bounceball.§factory,benchmark_awfy_bounce_opt,factory,10000,20434961,2043
Bounce,rxbvm,bounce-opt,1,awfy_bounce.main,benchmark_awfy_bounce_opt,procedure,1,886546375,886546375
Bounce,rxbvm,bounce-opt,2,awfy_bounce.bouncebenchmark.run,benchmark_awfy_bounce_opt,method,100,886420120,8864201
Bounce,rxbvm,bounce-opt,3,awfy_bounce.bounceball.§factory,benchmark_awfy_bounce_opt,factory,10000,21114647,2111
Richards,rxvm,richards-opt,1,awfy_richards.main,benchmark_awfy_richards_opt,procedure,1,1129208958,1129208958
Richards,rxvm,richards-opt,2,awfy_richards.richardsscheduler.run,benchmark_awfy_richards_opt,method,1,1129101667,1129101667
Richards,rxvm,richards-opt,3,awfy_richards.richardsscheduler.schedule,benchmark_awfy_richards_opt,method,1,1129021834,1129021834
Richards,rxvm,richards-opt,4,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,778450297,11832
Richards,rxvm,richards-opt,5,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,211233776,9086
Richards,rxbvm,richards-opt,1,awfy_richards.main,benchmark_awfy_richards_opt,procedure,1,1140626416,1140626416
Richards,rxbvm,richards-opt,2,awfy_richards.richardsscheduler.run,benchmark_awfy_richards_opt,method,1,1140532500,1140532500
Richards,rxbvm,richards-opt,3,awfy_richards.richardsscheduler.schedule,benchmark_awfy_richards_opt,method,1,1140437667,1140437667
Richards,rxbvm,richards-opt,4,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,790235951,12011
Richards,rxbvm,richards-opt,5,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,199548897,8584
Base64,rxvm,base64-opt,1,base64_roundtrip.main,benchmark_base64_roundtrip_opt,procedure,1,1640633875,1640633875
Base64,rxvm,base64-opt,2,base64_roundtrip.base64_decode,benchmark_base64_roundtrip_opt,procedure,500,1451874967,2903749
Base64,rxbvm,base64-opt,1,base64_roundtrip.main,benchmark_base64_roundtrip_opt,procedure,1,1679373792,1679373792
Base64,rxbvm,base64-opt,2,base64_roundtrip.base64_decode,benchmark_base64_roundtrip_opt,procedure,500,1471537699,2943075
RexxCPS,rxvm,rexxcps-opt,1,rexxcps_levelb.main,benchmark_rexxcps_levelb_opt,procedure,1,992567083,992567083
RexxCPS,rxvm,rexxcps-opt,2,rxfnsb.upper,upper,procedure,224000,83858180,374
RexxCPS,rxvm,rexxcps-opt,3,rexxcps_levelb.cps_subroutine,benchmark_rexxcps_levelb_opt,procedure,56000,57752752,1031
RexxCPS,rxvm,rexxcps-opt,4,rxfnsb._trace_normalize_mode,trace,procedure,400,7226801,18067
RexxCPS,rxvm,rexxcps-opt,5,rxfnsb._trace_set,trace,procedure,200,4333490,21667
RexxCPS,rxbvm,rexxcps-opt,1,rexxcps_levelb.main,benchmark_rexxcps_levelb_opt,procedure,1,995750791,995750791
RexxCPS,rxbvm,rexxcps-opt,2,rxfnsb.upper,upper,procedure,218400,78961482,361
RexxCPS,rxbvm,rexxcps-opt,3,rexxcps_levelb.cps_subroutine,benchmark_rexxcps_levelb_opt,procedure,54600,59183813,1083
RexxCPS,rxbvm,rexxcps-opt,4,rxfnsb._trace_normalize_mode,trace,procedure,400,7700456,19251
RexxCPS,rxbvm,rexxcps-opt,5,rxfnsb._trace_set,trace,procedure,200,4605885,23029
