workload,vm,entry,rank,opcode,count,total_ns,average_ns
Sieve,rxvm,sieve-opt,1,IGT_REG_REG_REG,1087001,13624178,12
Sieve,rxvm,sieve-opt,2,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,12215979,15
Sieve,rxvm,sieve-opt,3,ISETUNLINK_REG_REG,803450,9921446,12
Sieve,rxvm,sieve-opt,4,BLT_ID_REG_INT,586900,7477895,12
Sieve,rxvm,sieve-opt,5,IADD_REG_REG_REG,586900,7406468,12
Sieve,rxbvm,sieve-opt,1,IGT_REG_REG_REG,1087001,13691120,12
Sieve,rxbvm,sieve-opt,2,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,12365223,15
Sieve,rxbvm,sieve-opt,3,ISETUNLINK_REG_REG,803450,10031760,12
Sieve,rxbvm,sieve-opt,4,IADD_REG_REG_REG,586900,7404076,12
Sieve,rxbvm,sieve-opt,5,BLT_ID_REG_INT,586900,7397375,12
Bounce,rxvm,bounce-opt,1,MKREF_REG_REG,510000,262934722,515
Bounce,rxvm,bounce-opt,2,LINKATTR1_REG_REG_INT,4222600,62472230,14
Bounce,rxvm,bounce-opt,3,COPY_REG_REG,1090201,49505732,45
Bounce,rxvm,bounce-opt,4,UNLINK_REG,3065000,38559059,12
Bounce,rxvm,bounce-opt,5,BRF_ID_REG,2142702,26988804,12
Bounce,rxbvm,bounce-opt,1,MKREF_REG_REG,510000,263915537,517
Bounce,rxbvm,bounce-opt,2,LINKATTR1_REG_REG_INT,4222600,53245247,12
Bounce,rxbvm,bounce-opt,3,COPY_REG_REG,1090201,48098049,44
Bounce,rxbvm,bounce-opt,4,UNLINK_REG,3065000,38455302,12
Bounce,rxbvm,bounce-opt,5,BRF_ID_REG,2142702,26902153,12
Richards,rxvm,richards-opt,1,COPY_REG_REG,680964,838390559,1231
Richards,rxvm,richards-opt,2,UNLINKN_REG_REG,554074,21302843,38
Richards,rxvm,richards-opt,3,BRF_ID_REG,1183583,15681142,13
Richards,rxvm,richards-opt,4,CALL2_REG_FUNC_REG_REG,99035,13539914,136
Richards,rxvm,richards-opt,5,RET_REG,119152,13311418,111
Richards,rxbvm,richards-opt,1,COPY_REG_REG,680964,853319364,1253
Richards,rxbvm,richards-opt,2,BRF_ID_REG,1183583,15924761,13
Richards,rxbvm,richards-opt,3,RET_REG,119152,13591508,114
Richards,rxbvm,richards-opt,4,CALL2_REG_FUNC_REG_REG,99035,13344593,134
Richards,rxbvm,richards-opt,5,LINKATTR1_REG_REG_INT,924267,13166515,14
Base64,rxvm,base64-opt,1,SETSTRPOS_REG_REG,685000,206970632,302
Base64,rxvm,base64-opt,2,BRF_ID_REG,6676007,85812424,12
Base64,rxvm,base64-opt,3,SCOPY_REG_REG,3078503,52820264,17
Base64,rxvm,base64-opt,4,LOAD_REG_INT,3427515,46814208,13
Base64,rxvm,base64-opt,5,IADD_REG_REG_INT,2736524,35152343,12
Base64,rxbvm,base64-opt,1,SETSTRPOS_REG_REG,685000,180456582,263
Base64,rxbvm,base64-opt,2,BRF_ID_REG,6676007,85612774,12
Base64,rxbvm,base64-opt,3,SCOPY_REG_REG,3078503,51475120,16
Base64,rxbvm,base64-opt,4,IADD_REG_REG_INT,2736524,48782500,17
Base64,rxbvm,base64-opt,5,LOAD_REG_INT,3427515,47377641,13
RexxCPS,rxvm,rexxcps-opt,1,CALL_REG_FUNC_REG,225004,47461488,210
RexxCPS,rxvm,rexxcps-opt,2,BRF_ID_REG,2566987,30616284,11
RexxCPS,rxvm,rexxcps-opt,3,SCOPY_REG_REG,2080082,30408414,14
RexxCPS,rxvm,rexxcps-opt,4,ITOS_REG,504006,26435927,52
RexxCPS,rxvm,rexxcps-opt,5,LOAD_REG_STRING,1756247,23927499,13
RexxCPS,rxbvm,rexxcps-opt,1,CALL_REG_FUNC_REG,219404,43756408,199
RexxCPS,rxbvm,rexxcps-opt,2,BRF_ID_REG,2503891,30556335,12
RexxCPS,rxbvm,rexxcps-opt,3,SCOPY_REG_REG,2028385,30212891,14
RexxCPS,rxbvm,rexxcps-opt,4,ITOS_REG,491406,25786829,52
RexxCPS,rxbvm,rexxcps-opt,5,LOAD_REG_STRING,1712748,24041304,14
