workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
Sieve,rxvm,sieve-opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4232616,2031616,1,2977355,1857003,1120352,1053450,0,251,0,0,0,3166,complete
Sieve,rxbvm,sieve-opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4232616,2031616,1,2977355,1857003,1120352,1053450,0,168,0,0,0,2043,complete
Bounce,rxvm,bounce-opt,5,22912326,10100,3,10098,192514,7483002,51142411,10100,400000,920268,1207076,3,260586,83356312,15872,3,4003305,3274303,729002,515100,0,504283,0,0,0,7916,complete
Bounce,rxbvm,bounce-opt,5,22912326,10100,3,10098,192514,7483002,51142411,10100,400000,920268,1207076,3,260586,83356312,15872,3,4003305,3274303,729002,515100,0,507504,0,0,0,3250,complete
Richards,rxvm,richards-opt,5,9119155,119157,9,119149,5585055,96052048,762807737,99035,0,867567,4024286,4,739698,173984104,19440,6,1750622,1220546,530076,116253,0,6341476,0,0,0,5542,complete
Richards,rxbvm,richards-opt,5,9119155,119157,9,119149,5585055,96052048,762807737,99035,0,867567,4024286,4,739698,173984104,19440,6,1750622,1220546,530076,116253,0,6403956,0,0,0,1583,complete
Base64,rxvm,base64-opt,5,46725872,500,2,499,21546,2223010,18801152,500,512000,1388,1075100,4,1701,611648,13368,2,13007111,9587060,3420051,344548,0,32186,0,0,0,4168,complete
Base64,rxbvm,base64-opt,5,46725872,500,2,499,21546,2223010,18801152,500,512000,1388,1075100,4,1701,611648,13368,2,13007111,9587060,3420051,344548,0,35171,0,0,0,2040,complete
RexxCPS,rxvm,rexxcps-opt,5,21097919,285043,23,285021,2783835,590978,20774823,226625,1744043,1116202,35595901,1281511,1067269,111473368,29784,5,4282162,3306139,976023,228531,0,13747764,0,0,0,47886090,complete
RexxCPS,rxbvm,rexxcps-opt,5,20577147,278043,23,278021,2716635,577078,20264023,221025,1700617,1088502,34706893,1249511,1040869,108700568,29784,5,4176969,3224842,952127,222831,0,13308940,0,0,0,46559533,complete
