role,runtime,workload,form,path,size_bytes,sha256
product,crexx,toolchain,compiler,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxc,3451440,8e38ed98841d7f91cd58add88ff0ecad788523ac13bf8c189c674b5d1debf246
product,crexx,toolchain,assembler,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxas,762248,97cc12371519d2c4bd830dc976d197c09372c23b2a509801e2ec443ca8642753
product,crexx,toolchain,linker,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxlink,162568,fbb34761ee2e45db203df4656063af73d65d1fbd202270d55e88998d79259963
product,crexx,toolchain,disassembler,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxdas,212248,1c37f9132767a6ec9380a8fdc5bc91308fcee8a83e1f8574e87435cda2ae62cc
product,crexx,runtime,selected-executable,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxvm,1379592,5b07e80401086a850601abab3af98c3449ebe3d7e6f05c5a23c976a9d1506a4b
control,crexx,runtime,threaded-executable,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxtvm,1379720,99434332cd142035349b897d7244afd4ae0b1363c0e3430b453f40e9b671226e
control,crexx,runtime,bytecode-executable,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxbvm,1379592,5b07e80401086a850601abab3af98c3449ebe3d7e6f05c5a23c976a9d1506a4b
product,crexx,library,linked-rxbin,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/library.rxbin,906743,76948c5ecd0c33f1c5ee210694a5fef50816a4aabdc819ba58df12207ab7a241
build,crexx,toolchain,cmake-cache,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/CMakeCache.txt,42395,a1267ab8a54fad8cc103ec994d56ef63055c723c004a811d5f6d832c385deb12
tool,crexx,PERF3-closeout,matrix-driver,performance/tools/run_cross_runtime_matrix.crexx,37493,51a4c7982c3a4d31a00b36e991d069a411a61db1d49d51bf0d4c6e2811fa1633
tool,crexx,PERF3-closeout,lifecycle-driver,performance/tools/run_lifecycle.crexx,19844,dc6aa6fe36ba3fec057a68c2556187d40891000a287ad6abaeb2ecd4f19bf560
tool,crexx,PERF3-closeout,artifact-inventory,performance/tools/inventory_performance_artifacts.crexx,8322,a5621d16720af1723ae2d3d3760d702f9bb978a51ae9957bfda1604813052754
tool,crexx,PERF3-closeout,fusion-inventory,performance/tools/inventory_fusions.crexx,9803,6bbecb40609ede7b990a30507126d788d71779e8458f586357b6b8f568bd5c95
manifest,all,PERF3-closeout,portfolio-contract,performance/portfolio/manifest-v2.md,5788,9a6ec27ca81959a5d7ac78909c53291d7fdc49b0db24b261eb8cae511aa05361
manifest,all,PERF3-closeout,formal-matrix,performance/manifests/perf3-closeout-current-mac-v2.txt,14406,955e290bf1e195cd61409d8ae64b424f9ea57f81cda4b46d7f5269389a936840
manifest,all,PERF3-closeout,timing-noise-append,performance/manifests/perf3-closeout-current-mac-v2-noise-append.txt,4958,542ee92355a7ffa84f6109c0fb19308c23aaba274bbaf304e3bd58ce4c8b8c0e
manifest,crexx,PERF3-closeout,fusion-census,performance/manifests/perf3-closeout-fusion-census-v2.txt,2033,90826212233273ee8f7c53cf25d23d5652a75306ed532b9d5821ab3fff52892d
benchmark,crexx,Sieve,source,tests/benchmarks/awfy_sieve.crexx,983,395cc773ded763af39cd7ca0813582281e7f1be5768e5207f05e379e1756c18d
benchmark,crexx,Sieve,rxas,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas,9774,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358
benchmark,crexx,Sieve,rxbin,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin,4892,a9db0e5dc96ab05fd3b78471fedc4bb641555d8b5c209ae33b1a2f80e8dc9d06
benchmark,crexx,Permute,source,tests/benchmarks/awfy_permute.crexx,1313,272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4
benchmark,crexx,Permute,rxas,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas,29684,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d
benchmark,crexx,Permute,rxbin,/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin,11810,714cd35e4c4353d3d5d6beba170c9437b71d398c21c5f78381092b657d1e5ed0
