rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,341341,11,2,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_storage_noopt",0
2,341341,11,2,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_storage_noopt",2
3,278800,1,1,7,over_3_symbols,"BCF_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | COPY_REG_REG(r4,r5)","c1=label@90;r1=R7;r2=R9;r3=R4;c2=int:0;r4=R6;r5=R10","objectarrayappend",68
4,278800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c1) | BR_ID(c2)","r1=R6;r2=R10;r3=R4;c1=int:1;c2=label@68","objectarrayappend",79
5,278800,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | COPY_REG_REG(r1,r4) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c1)","r1=R6;r2=R9;r3=R4;r4=R10;c1=int:1","objectarrayappend",75
6,278800,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | COPY_REG_REG(r3,r4) | UNLINK_REG(r3)","r1=R9;r2=R4;c1=int:0;r3=R6;r4=R10","objectarrayappend",71
7,191150,6,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R5;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_storage_noopt",211
8,150170,4,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R8;c1=int:256;r2=R4;r3=R0;r4=R6","benchmark_awfy_storage_noopt",323
9,150170,4,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R4;r2=R8;r3=R0;c1=int:256;r4=R6;r5=R1;c2=func@14800;r6=R3","benchmark_awfy_storage_noopt",326
10,109210,3,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c2)","r1=R3;c1=int:3;r2=R8;c2=int:256;r3=R4;r4=R0","benchmark_awfy_storage_noopt",320
11,109210,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R5;r2=R4;r3=R16;c1=int:1;r4=R6","benchmark_awfy_storage_noopt",396
