vm,cell,denominator,dynamic_instructions,instructions_per_outer,delta_instructions_vs_current,delta_percent_vs_current,calls_per_outer,frames_per_outer,value_copy_ops_per_outer,value_copy_bytes_per_outer,conversions_per_outer,allocation_requests_per_outer,allocation_bytes_per_outer,branches_per_outer,loadstr_per_outer,scopy_per_outer,strupper_per_outer,substring_per_outer,setstrpos_per_outer,fndnblnk_per_outer,fndblnk_per_outer,strchar_per_outer,strlen_per_outer
rxvm,CF-C0-current,5100,26825701,5259.941373,0.000000,0.000000,70.988824,70.989020,141.083922,5123.201765,320.296275,266.163137,27817.667451,1066.541569,438.185686,519.369020,56.277647,70.244314,70.244314,28.163333,28.000196,0.163137,143.158627
rxvm,CF-COMB1,9900,27846929,2812.821111,-2447.120262,-46.523717,14.509697,14.509798,112.075960,4891.850606,320.152626,153.118283,27776.126061,457.509091,212.645354,448.221313,0.143030,0.126869,0.126869,0.085960,0.001414,0.084949,29.628687
rxbvm,CF-C0-current,4900,25784129,5262.067143,0.000000,0.000000,71.029184,71.029388,141.168980,5123.822245,320.308367,266.251429,27821.327347,1067.136531,438.315918,519.466327,56.288980,70.254490,70.254490,28.170000,28.000204,0.170000,143.287959
rxbvm,CF-COMB1,9700,27289729,2813.374124,-2448.693019,-46.534811,14.520206,14.520309,112.098144,4892.012474,320.155773,153.141340,27777.118351,457.663918,212.679278,448.246495,0.145979,0.129485,0.129485,0.087732,0.001443,0.086701,29.662268
