vm|variant|procedure|metric|calls|total_ns|average_ns|min_ns|max_ns
rxvm|current|perf2_04_base64_controls.base64_decode_current|elapsed|500|1457588496|2915176|2796625|3681166
rxvm|current|perf2_04_base64_controls.base64_decode_current|inclusive_body|500|1457384031|2914768|2796375|3678792
rxvm|current|perf2_04_base64_controls.base64_decode_current|self|500|1457384031|2914768|2796375|3678792
rxvm|current|perf2_04_base64_controls.base64_decode_current|native_child|500|0|0|0|0
rxvm|current|perf2_04_base64_controls.base64_decode_current|entry_overhead|500|94753|189|125|3541
rxvm|current|perf2_04_base64_controls.base64_decode_current|exit_overhead|500|109712|219|83|5500
rxvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|elapsed|500|317909964|635819|603584|733917
rxvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|inclusive_body|500|317778214|635556|603375|733458
rxvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|self|500|317778214|635556|603375|733458
rxvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|native_child|500|0|0|0|0
rxvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|entry_overhead|500|73746|147|83|1958
rxvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|exit_overhead|500|58004|116|41|1000
rxvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|elapsed|500|388700348|777400|756041|875083
rxvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|inclusive_body|500|388559880|777119|755750|874166
rxvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|self|500|388559880|777119|755750|874166
rxvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|native_child|500|0|0|0|0
rxvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|entry_overhead|500|78621|157|125|1583
rxvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|exit_overhead|500|61847|123|41|792
rxbvm|current|perf2_04_base64_controls.base64_decode_current|elapsed|500|1526262664|3052525|2872208|5278334
rxbvm|current|perf2_04_base64_controls.base64_decode_current|inclusive_body|500|1526027586|3052055|2871958|5275750
rxbvm|current|perf2_04_base64_controls.base64_decode_current|self|500|1526027586|3052055|2871958|5275750
rxbvm|current|perf2_04_base64_controls.base64_decode_current|native_child|500|0|0|0|0
rxbvm|current|perf2_04_base64_controls.base64_decode_current|entry_overhead|500|100788|201|125|2958
rxbvm|current|perf2_04_base64_controls.base64_decode_current|exit_overhead|500|134290|268|83|3125
rxbvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|elapsed|500|343245790|686491|647209|973458
rxbvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|inclusive_body|500|342921008|685842|646917|971000
rxbvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|self|500|342921008|685842|646917|971000
rxbvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|native_child|500|0|0|0|0
rxbvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|entry_overhead|500|197071|394|125|69833
rxbvm|codepoint-poschar|perf2_04_base64_controls.base64_decode_codepoint_poschar|exit_overhead|500|127711|255|83|2416
rxbvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|elapsed|500|433333337|866666|805708|1179083
rxbvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|inclusive_body|500|433085585|866171|805458|1177667
rxbvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|self|500|433085585|866171|805458|1177667
rxbvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|native_child|500|0|0|0|0
rxbvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|entry_overhead|500|121087|242|125|5000
rxbvm|codepoint-arithmetic|perf2_04_base64_controls.base64_decode_codepoint_arithmetic|exit_overhead|500|126665|253|83|7917
