rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
32,54560,1,1,7,candidate,"BRT_ID_REG(c1,r1) | ISUB_REG_REG_INT(r2,r3,c2) | SETTP_REG_INT(r4,c3)","c1=label@561;r1=R0;r2=R15;r3=R25;c2=int:1;r4=R24;c3=int:256","benchmark_awfy_storage_opt",503
33,54560,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | ISUB_REG_REG_INT(r4,r5,c2)","r1=R0;r2=R3;r3=R2;c1=label@561;r4=R15;r5=R25;c2=int:1","benchmark_awfy_storage_opt",499
34,54560,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | BCTP_ID_REG(c2,r4)","r1=R18;c1=int:1;r2=R14;r3=R1;c2=label@499;r4=R3","benchmark_awfy_storage_opt",551
35,54560,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r3,c2) | SETTP_REG_INT(r4,c2)","r1=R15;r2=R25;c1=int:1;r3=R24;c2=int:256;r4=R26","benchmark_awfy_storage_opt",506
36,40960,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3)","r1=R11;c1=int:18;c2=int:1;r2=R0;c3=int:2","benchmark_awfy_storage_opt",584
37,40960,1,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","c1=label@493;r1=R6;r2=R12;r3=R26;r4=R3;c2=int:1","benchmark_awfy_storage_opt",425
38,40960,1,1,5,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R26;r2=R12;r3=R4;r4=R11;c1=label@468","benchmark_awfy_storage_opt",460
39,40960,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IMULT_REG_REG_INT(r4,r3,c2)","r1=R12;r2=R26;r3=R3;c1=int:1;r4=R2;c2=int:1309","benchmark_awfy_storage_opt",428
40,40960,1,1,5,candidate,"COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R3;r2=R26;r3=R1;c1=int:256;c2=int:768","benchmark_awfy_storage_opt",476
41,40960,1,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | ISETATTR1_REG_INT_REG(r2,c3,r1)","r1=R2;c1=int:13849;c2=int:65536;r2=R12;c3=int:1","benchmark_awfy_storage_opt",441
42,40960,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | SETTP_REG_INT(r5,c2)","r1=R5;r2=R4;c1=int:1;r3=R3;r4=R26;r5=R1;c2=int:256","benchmark_awfy_storage_opt",472
43,40960,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r3,r4,c2)","r1=R1;r2=R11;c1=int:256;r3=R7;r4=R9;c2=int:0","objectarrayappend",16
44,40960,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R6;r2=R25;c1=int:1;c2=label@493;r3=R12;r4=R26","benchmark_awfy_storage_opt",421
45,40960,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r2,r1)","r1=R11;r2=R4;r3=R26;r4=R12","benchmark_awfy_storage_opt",457
46,40960,1,1,6,candidate,"IMOD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r1,c2) | COPY_REG_REG(r3,r4)","r1=R4;c1=int:10;r2=R5;c2=int:1;r3=R3;r4=R26","benchmark_awfy_storage_opt",468
47,40960,1,1,5,candidate,"IMOD_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R2;c1=int:65536;r2=R12;c2=int:1;r3=R4","benchmark_awfy_storage_opt",445
48,40960,1,1,4,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IADD_REG_REG_INT(r1,r1,c2)","r1=R2;r2=R3;c1=int:1309;c2=int:13849","benchmark_awfy_storage_opt",435
49,40960,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3)","r1=R12;c1=int:1;r2=R2;r3=R4;r4=R11","benchmark_awfy_storage_opt",449
50,40960,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r2)","r1=R4;r2=R12;c1=int:1;r3=R11;r4=R26","benchmark_awfy_storage_opt",453
51,40960,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R3;r2=R12;c1=int:1;r3=R2;c2=int:1309","benchmark_awfy_storage_opt",431
