-- Install configuration: "Release"
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/share/crexx/messages
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/share/crexx/messages/diagnostics.en_US.msg
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/include/crexx_version.h
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/./VERSION
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/./BUILDINFO
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/libcrexxsaa.dylib
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/include/crexxsaa.h
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/crexxsaa
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/include/rxpa/crexxpa.h
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/include/platform/rxinteger.h
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/include/rxpa/crexx_version.h
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/maclib.rexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/macsys.rexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/mathlib.rexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/syslib.rexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/bin/rxpp-sh
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/exits/pprint/pprint_example.rxbin
-- Up-to-date: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/hello.dSYM
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/hello.dSYM/Contents
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/hello.dSYM/Contents/Resources
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/hello.dSYM/Contents/Resources/Relocations
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/hello.dSYM/Contents/Resources/Relocations/aarch64
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/hello.dSYM/Contents/Resources/DWARF
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/date1.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/time_sample.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/system.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/nthroot.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/sort.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/xref.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/classes
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/classes/README.md
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/plugins
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/plugins/README.md
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/lcm.crexx
-- Installing: /tmp/crexx-perf3-03-closeout.VNMmVS/install/examples/anagram.crexx
