profile,baseline_instructions,candidate_instructions,delta,percent
access-noopt-rxbvm-get-hit-ascii-64.csv,126010,63200,-62810,-49.845
access-noopt-rxbvm-get-miss-ascii-64.csv,172453,36751,-135702,-78.689
access-noopt-rxbvm-multi-tail-ascii-64.csv,148991,75731,-73260,-49.171
access-noopt-rxbvm-reset-default-ascii-64.csv,37569,35815,-1754,-4.669
access-noopt-rxbvm-set-existing-ascii-64.csv,67738,35088,-32650,-48.200
access-noopt-rxvm-get-hit-ascii-64.csv,126010,63200,-62810,-49.845
access-noopt-rxvm-get-miss-ascii-64.csv,172453,36751,-135702,-78.689
access-noopt-rxvm-multi-tail-ascii-64.csv,148991,75731,-73260,-49.171
access-noopt-rxvm-reset-default-ascii-64.csv,37569,35815,-1754,-4.669
access-noopt-rxvm-set-existing-ascii-64.csv,67738,35088,-32650,-48.200
access-opt-rxbvm-get-hit-ascii-1024.csv,259812,137625,-122187,-47.029
access-opt-rxbvm-get-hit-ascii-16.csv,105696,48470,-57226,-54.142
access-opt-rxbvm-get-hit-ascii-256.csv,158214,72188,-86026,-54.373
access-opt-rxbvm-get-hit-collision-256.csv,812438,71814,-740624,-91.161
access-opt-rxbvm-get-hit-long-64.csv,396250,29556,-366694,-92.541
access-opt-rxbvm-get-hit-unicode-64.csv,91232,29818,-61414,-67.316
access-opt-rxbvm-get-miss-ascii-64.csv,168125,32423,-135702,-80.715
access-opt-rxbvm-histogram-ascii-64.csv,297032,190181,-106851,-35.973
access-opt-rxbvm-multi-tail-ascii-64.csv,140457,67197,-73260,-52.158
access-opt-rxbvm-reset-default-ascii-64.csv,33225,31471,-1754,-5.279
access-opt-rxbvm-reset-selective-ascii-64.csv,125684,64522,-61162,-48.663
access-opt-rxbvm-set-existing-ascii-64.csv,64904,32254,-32650,-50.305
access-opt-rxbvm-set-new-ascii-64.csv,28849,12806,-16043,-55.610
access-opt-rxvm-get-hit-ascii-1024.csv,259812,137625,-122187,-47.029
access-opt-rxvm-get-hit-ascii-16.csv,105696,48470,-57226,-54.142
access-opt-rxvm-get-hit-ascii-256.csv,158214,72188,-86026,-54.373
access-opt-rxvm-get-hit-collision-256.csv,812438,71814,-740624,-91.161
access-opt-rxvm-get-hit-long-64.csv,396250,29556,-366694,-92.541
access-opt-rxvm-get-hit-unicode-64.csv,91232,29818,-61414,-67.316
access-opt-rxvm-get-miss-ascii-64.csv,168125,32423,-135702,-80.715
access-opt-rxvm-histogram-ascii-64.csv,297032,190181,-106851,-35.973
access-opt-rxvm-multi-tail-ascii-64.csv,140457,67197,-73260,-52.158
access-opt-rxvm-reset-default-ascii-64.csv,33225,31471,-1754,-5.279
access-opt-rxvm-reset-selective-ascii-64.csv,125684,64522,-61162,-48.663
access-opt-rxvm-set-existing-ascii-64.csv,64904,32254,-32650,-50.305
access-opt-rxvm-set-new-ascii-64.csv,28849,12806,-16043,-55.610
