variant,vm,mode,family,size,iterations,elapsed_us,checksum
opt,rxvm,get-hit,ascii,64,10000,1400,28587
opt,rxvm,get-miss,ascii,64,10000,967,10000
opt,rxvm,set-existing,ascii,64,5000,1004,162276
opt,rxvm,set-new,ascii,64,1000,996,1064
opt,rxvm,reset-default,ascii,64,10000,990,70
opt,rxvm,reset-selective,ascii,64,5000,1666,23893
opt,rxvm,multi-tail,ascii,64,10000,2009,28587
opt,rxvm,get-hit,ascii,1024,5000,970,19560
opt,rxvm,get-hit,collision,256,2000,529,7136
opt,rxvm,get-hit,unicode,64,5000,663,14290
opt,rxvm,get-hit,long,64,5000,986,14290
opt,rxvm,histogram,ascii,64,1000,4446,8000
opt,rxbvm,get-hit,ascii,64,10000,1170,28587
opt,rxbvm,get-miss,ascii,64,10000,781,10000
opt,rxbvm,set-existing,ascii,64,5000,840,162276
opt,rxbvm,set-new,ascii,64,1000,721,1064
opt,rxbvm,reset-default,ascii,64,10000,1004,70
opt,rxbvm,reset-selective,ascii,64,5000,1760,23893
opt,rxbvm,multi-tail,ascii,64,10000,2046,28587
opt,rxbvm,get-hit,ascii,1024,5000,904,19560
opt,rxbvm,get-hit,collision,256,2000,593,7136
opt,rxbvm,get-hit,unicode,64,5000,801,14290
opt,rxbvm,get-hit,long,64,5000,973,14290
opt,rxbvm,histogram,ascii,64,1000,4533,8000
noopt,rxvm,get-hit,ascii,64,10000,3840,28587
noopt,rxvm,get-miss,ascii,64,10000,935,10000
noopt,rxvm,set-existing,ascii,64,5000,1144,162276
noopt,rxvm,set-new,ascii,64,1000,856,1064
noopt,rxvm,reset-default,ascii,64,10000,2139,70
noopt,rxvm,reset-selective,ascii,64,5000,2264,23893
noopt,rxvm,multi-tail,ascii,64,10000,2640,28587
noopt,rxvm,get-hit,ascii,1024,5000,1338,19560
noopt,rxvm,get-hit,collision,256,2000,620,7136
noopt,rxvm,get-hit,unicode,64,5000,955,14290
noopt,rxvm,get-hit,long,64,5000,1141,14290
noopt,rxvm,histogram,ascii,64,1000,5298,8000
noopt,rxbvm,get-hit,ascii,64,10000,1525,28587
noopt,rxbvm,get-miss,ascii,64,10000,843,10000
noopt,rxbvm,set-existing,ascii,64,5000,839,162276
noopt,rxbvm,set-new,ascii,64,1000,600,1064
noopt,rxbvm,reset-default,ascii,64,10000,1050,70
noopt,rxbvm,reset-selective,ascii,64,5000,1924,23893
noopt,rxbvm,multi-tail,ascii,64,10000,2342,28587
noopt,rxbvm,get-hit,ascii,1024,5000,1025,19560
noopt,rxbvm,get-hit,collision,256,2000,591,7136
noopt,rxbvm,get-hit,unicode,64,5000,1010,14290
noopt,rxbvm,get-hit,long,64,5000,1022,14290
noopt,rxbvm,histogram,ascii,64,1000,5205,8000
