phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,13,rxbvml,spin-w1,accepted,1756.950592628,145707.000
recorded,1,14,rxbvml,spin-w1,candidate,1829.760773074,139909.000
recorded,1,15,rxbvml,spin-w4,accepted,5922.361541665,43226.000
recorded,1,16,rxbvml,spin-w4,candidate,6184.022996836,41397.000
recorded,1,17,rxbvml,identity,candidate,543813.064259161,1883.000
recorded,1,18,rxbvml,identity,channel,111038.820212535240,9222
recorded,1,18,rxbvml,spin-w4,channel,3238.374740677023,79052
recorded,1,19,rxtvml,spin-w1,accepted,1304.385486673,196261.000
recorded,1,20,rxtvml,spin-w1,candidate,1323.578833079,193415.000
recorded,1,21,rxtvml,spin-w4,accepted,5162.018833303,49593.000
recorded,1,22,rxtvml,spin-w4,candidate,4880.280616135,52456.000
recorded,1,23,rxtvml,identity,candidate,549061.662198391,1865.000
recorded,1,24,rxtvml,identity,channel,119014.411901441184,8604
recorded,1,24,rxtvml,spin-w4,channel,2764.728117068956,92595
recorded,2,25,rxtvml,identity,channel,117162.471395881003,8740
recorded,2,25,rxtvml,spin-w4,channel,2710.600991063488,94444
recorded,2,26,rxtvml,identity,candidate,549356.223175966,1864.000
recorded,2,27,rxtvml,spin-w4,candidate,4899.052722228,52255.000
recorded,2,28,rxtvml,spin-w4,accepted,5287.180652223,48419.000
recorded,2,29,rxtvml,spin-w1,candidate,1300.172171237,196897.000
recorded,2,30,rxtvml,spin-w1,accepted,1415.874385394,180807.000
recorded,2,31,rxbvml,identity,channel,129603.847614226048,7901
recorded,2,31,rxbvml,spin-w4,channel,3169.336667739619,80774
recorded,2,32,rxbvml,identity,candidate,578531.073446328,1770.000
recorded,2,33,rxbvml,spin-w4,candidate,6102.502979738,41950.000
recorded,2,34,rxbvml,spin-w4,accepted,6192.100234623,41343.000
recorded,2,35,rxbvml,spin-w1,candidate,1644.610047540,155660.000
recorded,2,36,rxbvml,spin-w1,accepted,1675.699735554,152772.000
recorded,3,37,rxbvml,spin-w1,accepted,1733.231325448,147701.000
recorded,3,38,rxbvml,spin-w1,candidate,1828.218843509,140027.000
recorded,3,39,rxbvml,spin-w4,accepted,5885.328061060,43498.000
recorded,3,40,rxbvml,spin-w4,candidate,6173.583813635,41467.000
recorded,3,41,rxbvml,identity,candidate,533055.700156169,1921.000
recorded,3,42,rxbvml,identity,channel,98009.188361408887,10448
recorded,3,42,rxbvml,spin-w4,channel,3223.978338895536,79405
recorded,3,43,rxtvml,spin-w1,accepted,1398.242365651,183087.000
recorded,3,44,rxtvml,spin-w1,candidate,1315.397342486,194618.000
recorded,3,45,rxtvml,spin-w4,accepted,5393.902361939,47461.000
recorded,3,46,rxtvml,spin-w4,candidate,4922.508941276,52006.000
recorded,3,47,rxtvml,identity,candidate,560481.663929940,1827.000
recorded,3,48,rxtvml,identity,channel,116469.517743403092,8792
recorded,3,48,rxtvml,spin-w4,channel,2740.899357601713,93400
recorded,4,49,rxtvml,identity,channel,132505.175983436842,7728
recorded,4,49,rxtvml,spin-w4,channel,2710.227934404014,94457
recorded,4,50,rxtvml,identity,candidate,578531.073446328,1770.000
recorded,4,51,rxtvml,spin-w4,candidate,4843.714523575,52852.000
recorded,4,52,rxtvml,spin-w4,accepted,5322.687957418,48096.000
recorded,4,53,rxtvml,spin-w1,candidate,1303.044339138,196463.000
recorded,4,54,rxtvml,spin-w1,accepted,1526.180554314,167739.000
recorded,4,55,rxbvml,identity,channel,115784.712799638175,8844
recorded,4,55,rxbvml,spin-w4,channel,3167.571981835954,80819
recorded,4,56,rxbvml,identity,candidate,544391.281233386,1881.000
recorded,4,57,rxbvml,spin-w4,candidate,6174.775078994,41459.000
recorded,4,58,rxbvml,spin-w4,accepted,6160.658420369,41554.000
recorded,4,59,rxbvml,spin-w1,candidate,1638.483890375,156242.000
recorded,4,60,rxbvml,spin-w1,accepted,1681.953168116,152204.000
recorded,5,61,rxbvml,spin-w1,accepted,1715.852195419,149197.000
recorded,5,62,rxbvml,spin-w1,candidate,1823.413772472,140396.000
recorded,5,63,rxbvml,spin-w4,accepted,5936.231884058,43125.000
recorded,5,64,rxbvml,spin-w4,candidate,6146.901337431,41647.000
recorded,5,65,rxbvml,identity,candidate,507684.680218146,2017.000
recorded,5,66,rxbvml,identity,channel,95727.774142282884,10697
recorded,5,66,rxbvml,spin-w4,channel,3220.368832867890,79494
