workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
RXPA-Reentrant,rxbvm,elapsed_ns,12,1246430500.000000,1432817000.000000,10.709695,12.969790,15.383651,16.152422,17.463720,14.501217,12.983946,16.018488,clear_adverse,0,12,yes
RXPA-Reentrant,rxtvm,elapsed_ns,12,1231442500.000000,1405860500.000000,9.787084,12.865880,14.128701,14.628586,24.914052,14.782493,12.317548,17.247438,clear_adverse,0,12,yes
RXPA-Legacy,rxbvm,elapsed_ns,12,1232989000.000000,1418427000.000000,11.537163,13.530467,14.426553,15.894780,18.907976,14.750908,13.341563,16.160253,clear_adverse,0,12,yes
RXPA-Legacy,rxtvm,elapsed_ns,12,1237356500.000000,1399562000.000000,8.823060,11.536127,13.496044,16.071537,20.200817,13.924160,11.812487,16.035833,clear_adverse,0,12,yes
RXPA-Reentrant-Lifecycle,rxbvm,elapsed_ns,12,15351500.000000,15389000.000000,-2.111801,-0.835504,0.657272,1.101272,2.526343,0.280000,-0.600081,1.160082,noisy_inconclusive,5,12,no
RXPA-Reentrant-Lifecycle,rxtvm,elapsed_ns,12,15305500.000000,15457000.000000,-1.375071,-0.624609,0.671320,1.562454,2.062537,0.488296,-0.241435,1.218026,noisy_inconclusive,4,12,no
RXPA-Legacy-Lifecycle,rxbvm,elapsed_ns,12,15311000.000000,15460500.000000,-1.255066,0.499568,0.995710,1.314200,1.748891,0.721916,0.143155,1.300676,clear_adverse,3,12,no
RXPA-Legacy-Lifecycle,rxtvm,elapsed_ns,12,15403500.000000,15448000.000000,-1.288026,0.291701,0.618386,1.487771,2.751289,0.792556,0.040662,1.544451,clear_adverse,2,12,no
Sieve,rxbvm,elapsed_ns,12,1027168500.000000,1018998000.000000,-2.029011,-1.010510,-0.900986,-0.541391,4.725400,-0.449170,-1.538679,0.640340,noisy_inconclusive,10,12,no
Sieve,rxtvm,elapsed_ns,12,947464000.000000,946287000.000000,-2.235995,-1.120840,-0.142538,0.264576,1.800459,-0.279062,-1.039632,0.481508,noisy_inconclusive,8,12,no
RexxCPS,rxbvm,benchmark_rate,12,44830780.500000,44377201.500000,-2.207163,-0.995755,-0.809850,-0.571980,0.956905,-0.767747,-1.265670,-0.269823,clear_adverse,1,12,no
RexxCPS,rxtvm,benchmark_rate,12,45490161.000000,45325668.500000,-1.480581,-1.104582,-0.178979,0.478095,2.311181,-0.117280,-0.817767,0.583206,noisy_inconclusive,6,12,no
