# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 28901385966
#
# Overhead  Command  Shared Object  Symbol                                       IPC   [IPC Coverage]
# ........  .......  .............  ...........................................  ....................
#
    47.81%  rxbvm    rxbvm          [.] copy_value                               -      -            
    16.99%  rxbvm    rxbvm          [.] clear_value_contents                     -      -            
     8.98%  rxbvm    rxbvm          [.] reset_value_storage_for_reuse            -      -            
     7.83%  rxbvm    rxbvm          [.] run                                      -      -            
     5.42%  rxbvm    rxbvm          [.] maybe_trim_attribute_storage             -      -            
     2.84%  rxbvm    libc.so.6      [.] _int_malloc                              -      -            
     2.39%  rxbvm    libc.so.6      [.] malloc                                   -      -            
     2.19%  rxbvm    libc.so.6      [.] _int_free_merge_chunk                    -      -            
     1.99%  rxbvm    rxbvm          [.] release_value_reference_lifetime         -      -            
     0.93%  rxbvm    libc.so.6      [.] cfree@GLIBC_2.2.5                        -      -            
     0.50%  rxbvm    libc.so.6      [.] _int_free_chunk                          -      -            
     0.42%  rxbvm    libc.so.6      [.] unlink_chunk.isra.0                      -      -            
     0.38%  rxbvm    libc.so.6      [.] _int_free_maybe_trim                     -      -            
     0.29%  rxbvm    rxbvm          [.] free@plt                                 -      -            
     0.25%  rxbvm    rxbvm          [.] rx_graph_type_ref                        -      -            
     0.22%  rxbvm    libc.so.6      [.] __libc_malloc2                           -      -            
     0.12%  rxbvm    rxbvm          [.] rxvm_rebuild_interface_method_registry   -      -            
     0.11%  rxbvm    rxbvm          [.] syncNumericContext                       -      -            
     0.11%  rxbvm    rxbvm          [.] malloc@plt                               -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
