workload,engine,variant,median_ms,relative_to_inline_percent,relative_mad_percent
Sieve,rxtvm,all-inline,1005.784,+0.000,0.421611
Sieve,rxbvm,all-inline,1032.158,+0.000,0.191056
Sieve,rxtvm,profile-30,1149.956,+14.334,0.564369
Sieve,rxbvm,profile-30,1279.213,+23.936,0.327623
Sieve,rxtvm,retain,997.332,-0.840,0.257888
Sieve,rxbvm,retain,1037.921,+0.558,0.201075
Sieve,rxtvm,one,1157.146,+15.049,1.064342
Sieve,rxbvm,one,1131.696,+9.644,0.244942
Sieve,rxtvm,eight,1174.392,+16.764,0.466284
Sieve,rxbvm,eight,1167.629,+13.125,0.384369
Sieve,rxtvm,reserved,1179.116,+17.233,0.325583
Sieve,rxbvm,reserved,1208.502,+17.085,0.383615
Sieve,rxtvm,continuation,1002.955,-0.281,0.243879
Sieve,rxbvm,continuation,1035.393,+0.313,0.378021
Sieve,rxtvm,staticmap,1139.241,+13.269,0.210754
Sieve,rxbvm,staticmap,1256.592,+21.744,0.340485
Sieve,rxtvm,poll-ceiling,1114.690,+10.828,0.499735
Sieve,rxbvm,poll-ceiling,1054.528,+2.167,0.548255
Permute,rxtvm,all-inline,1780.398,+0.000,0.328157
Permute,rxbvm,all-inline,1793.486,+0.000,0.642548
Permute,rxtvm,profile-30,2227.207,+25.096,0.248248
Permute,rxbvm,profile-30,2235.388,+24.639,0.589182
Permute,rxtvm,retain,1786.110,+0.321,0.376684
Permute,rxbvm,retain,1781.367,-0.676,0.266677
Permute,rxtvm,one,2087.535,+17.251,0.679677
Permute,rxbvm,one,2268.138,+26.465,2.275324
Permute,rxtvm,eight,2042.396,+14.716,0.214527
Permute,rxbvm,eight,2202.883,+22.827,0.204164
Permute,rxtvm,reserved,2058.212,+15.604,0.596222
Permute,rxbvm,reserved,2256.186,+25.799,0.592305
Permute,rxtvm,continuation,1747.816,-1.830,0.421126
Permute,rxbvm,continuation,1811.120,+0.983,0.138920
Permute,rxtvm,staticmap,2173.968,+22.106,0.381353
Permute,rxbvm,staticmap,2232.736,+24.491,0.999245
Permute,rxtvm,poll-ceiling,2246.051,+26.154,0.372053
Permute,rxbvm,poll-ceiling,1907.162,+6.338,0.240488
Bounce,rxtvm,all-inline,1087.164,+0.000,0.919595
Bounce,rxbvm,all-inline,1090.248,+0.000,0.315479
Bounce,rxtvm,profile-30,1310.147,+20.511,1.103388
Bounce,rxbvm,profile-30,1550.616,+42.226,1.962414
Bounce,rxtvm,retain,1085.124,-0.188,0.618132
Bounce,rxbvm,retain,1072.678,-1.612,0.387861
Bounce,rxtvm,one,1210.695,+11.363,0.888622
Bounce,rxbvm,one,1481.102,+35.850,1.403314
Bounce,rxtvm,eight,1286.306,+18.318,0.396135
Bounce,rxbvm,eight,1485.980,+36.297,0.797016
Bounce,rxtvm,reserved,1250.922,+15.063,0.576015
Bounce,rxbvm,reserved,1606.933,+47.391,1.474050
Bounce,rxtvm,continuation,1082.286,-0.449,0.783665
Bounce,rxbvm,continuation,1103.586,+1.223,0.443599
Bounce,rxtvm,staticmap,1292.126,+18.853,0.900338
Bounce,rxbvm,staticmap,1503.775,+37.930,2.965071
Bounce,rxtvm,poll-ceiling,1871.410,+72.137,0.929299
Bounce,rxbvm,poll-ceiling,1167.208,+7.059,0.455660
