build,engine,run_bytes,text_bytes,file_bytes,handler_symbols,sha256
clang-r2-inline,rxtvm,532512,828488,1020632,0,619c402681b95795bc7d7fede6a4c0a39930efde710b20a202d9e15ef88d2dcf
clang-r2-inline,rxbvm,531868,828520,1020808,0,ed4444266f7179010c25270c94f0b3eff75e1969b55c333018e0fda36d24f836
clang-r3-inline,rxtvm,532512,828488,1020632,0,e715697da1011a0368be094a49578526a7112e4c8334178d32aec3294eb50597
clang-r3-inline,rxbvm,531868,828520,1020808,0,5910e4b419c7f9894dc17fe804bf255da3c6de849bdfdc2eb9e9f51d8a2b20ee
clang-r3-profile30,rxtvm,205548,896184,1109592,474,9a4a530bccf1ef69d1a53118457b28b1c52d0edb120547a16c9a275e8cc07d76
clang-r3-profile30,rxbvm,205444,892572,1109528,474,c64ad0d378edc344e7a3cac173db1179aef01464fc5864d68eab535dcb212885
gcc-r2-inline,rxtvm,1493900,1864152,2138184,0,f0685c0c97a3a7cb51fa1aaf3a9766b7f4d6b12438ba6bc27611453d3b9cbdd2
gcc-r2-inline,rxbvm,1478368,1848632,2121672,0,88228a4c1ee34219e3a8ea9418d15185fbe45f3c39f6fb44bc97b44798b37ab5
gcc-r3-inline,rxtvm,1493900,1864152,2138184,0,bb7a8f4eb13b57b304dbb7dced1cf4def7afc0b08cc04d7f065919730513e7a9
gcc-r3-inline,rxbvm,1478368,1848632,2121672,0,6228d3373f89c9685cc9a10bf11ae41e3a36d99a0db14a5d367297d5d0789892
gcc-r3-profile30,rxtvm,547808,1434616,1779960,409,e8ba5b892f8874492451f44e87256b7c5f9b628a6330e2e2ab2a1f3a94fdfe96
gcc-r3-profile30,rxbvm,549632,1429112,1763432,409,e1c802a7b6895eadb372384d24c6f13c30fc6b1ad81c4c8d34d67df0df6f897c
