comparison,compiler,engine,membership,n,geometric_mean,percent
r3_inline_vs_r2_inline,clang,rxbvm,all,7,1.0107604354458677,1.0760435445867689
r3_inline_vs_r2_inline,clang,rxbvm,no_base64,6,0.9971991153871521,-0.2800884612847887
r3_inline_vs_r2_inline,clang,rxtvm,all,7,0.9979267238070136,-0.2073276192986362
r3_inline_vs_r2_inline,clang,rxtvm,no_base64,6,0.99779936215395,-0.22006378460499576
r3_inline_vs_r2_inline,gcc,rxbvm,all,7,1.0070088504143166,0.7008850414316647
r3_inline_vs_r2_inline,gcc,rxbvm,no_base64,6,1.0051957579564004,0.5195757956400371
r3_inline_vs_r2_inline,gcc,rxtvm,all,7,1.0003421369652208,0.03421369652207851
r3_inline_vs_r2_inline,gcc,rxtvm,no_base64,6,0.9987296810689724,-0.1270318931027581
r3_profile30_vs_r2_inline,clang,rxbvm,all,7,1.013527094285084,1.352709428508403
r3_profile30_vs_r2_inline,clang,rxbvm,no_base64,6,0.9992047930819312,-0.07952069180687804
r3_profile30_vs_r2_inline,clang,rxtvm,all,7,0.992525628016224,-0.7474371983775985
r3_profile30_vs_r2_inline,clang,rxtvm,no_base64,6,0.9943971962832524,-0.5602803716747595
r3_profile30_vs_r2_inline,gcc,rxbvm,all,7,1.088101921816514,8.810192181651399
r3_profile30_vs_r2_inline,gcc,rxbvm,no_base64,6,1.069744878684534,6.974487868453405
r3_profile30_vs_r2_inline,gcc,rxtvm,all,7,1.0387647587576974,3.876475875769736
r3_profile30_vs_r2_inline,gcc,rxtvm,no_base64,6,1.012505836036009,1.2505836036009077
r3_profile30_vs_r3_inline,clang,rxbvm,all,7,1.002737205318089,0.27372053180889644
r3_profile30_vs_r3_inline,clang,rxbvm,no_base64,6,1.0020113111452174,0.20113111452173538
r3_profile30_vs_r3_inline,clang,rxtvm,all,7,0.9945876829811863,-0.5412317018813728
r3_profile30_vs_r3_inline,clang,rxtvm,no_base64,6,0.9965903306819585,-0.34096693180415416
r3_profile30_vs_r3_inline,gcc,rxbvm,all,7,1.0805286580836235,8.052865808362352
r3_profile30_vs_r3_inline,gcc,rxbvm,no_base64,6,1.0642154726750583,6.421547267505834
r3_profile30_vs_r3_inline,gcc,rxtvm,all,7,1.0384094804893862,3.8409480489386194
r3_profile30_vs_r3_inline,gcc,rxtvm,no_base64,6,1.0137936773364857,1.3793677336485732
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,all,7,1.0216113151312225,2.1611315131222497
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,no_base64,6,1.0077844528214344,0.7784452821434362
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,all,7,1.1931177626383331,19.311776263833313
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,no_base64,6,1.2109403738863684,21.094037388636842
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,all,7,1.0086398289455756,0.8639828945575578
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,no_base64,6,1.0083910712490896,0.8391071249089554
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,all,7,1.1852189500000294,18.521895000002942
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,no_base64,6,1.203150812995703,20.31508129957029
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,all,7,1.000442334355481,0.044233435548091116
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,no_base64,6,1.0029355756516214,0.29355756516213916
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,all,7,1.1390189283072747,13.90189283072747
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,no_base64,6,1.1461463570260708,14.614635702607082
