comparison,compiler,engine,workload,candidate,baseline,ratio_higher_is_better,percent
r3_profile30_vs_r3_inline,clang,rxtvm,Sieve,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,0.9885786107182689,-1.1421389281731087
r3_profile30_vs_r3_inline,clang,rxtvm,Permute,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,0.9902643460317504,-0.9735653968249602
r3_profile30_vs_r3_inline,clang,rxtvm,Bounce,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.0093432898586643,0.9343289858664283
r3_profile30_vs_r3_inline,clang,rxtvm,Richards,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,0.9935833604122787,-0.6416639587721318
r3_profile30_vs_r3_inline,clang,rxtvm,Base64,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,0.9826560250119211,-1.7343974988078936
r3_profile30_vs_r3_inline,clang,rxtvm,Towers,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,0.9915548466493055,-0.8445153350694512
r3_profile30_vs_r3_inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.006416413300767,0.6416413300766921
r3_inline_vs_r2_inline,clang,rxtvm,Sieve,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9969612218981635,-0.30387781018365034
r3_inline_vs_r2_inline,clang,rxtvm,Permute,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,1.0026996385972213,0.2699638597221332
r3_inline_vs_r2_inline,clang,rxtvm,Bounce,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.988403583084508,-1.1596416915491958
r3_inline_vs_r2_inline,clang,rxtvm,Richards,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9925382782542741,-0.7461721745725902
r3_inline_vs_r2_inline,clang,rxtvm,Base64,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.998691235190116,-0.13087648098839555
r3_inline_vs_r2_inline,clang,rxtvm,Towers,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,1.0016552473134954,0.16552473134954226
r3_inline_vs_r2_inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,1.0046397575853252,0.46397575853251993
r3_profile30_vs_r2_inline,clang,rxtvm,Sieve,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9855745396840744,-1.442546031592562
r3_profile30_vs_r2_inline,clang,rxtvm,Permute,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.99293770188175,-0.7062298118249988
r3_profile30_vs_r2_inline,clang,rxtvm,Bounce,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9976385242586089,-0.2361475741391117
r3_profile30_vs_r2_inline,clang,rxtvm,Richards,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9861695178456991,-1.3830482154300938
r3_profile30_vs_r2_inline,clang,rxtvm,Base64,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.981369959386165,-1.8630040613834997
r3_profile30_vs_r2_inline,clang,rxtvm,Towers,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9931961151454052,-0.6803884854594822
r3_profile30_vs_r2_inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,1.0110859414883748,1.1085941488374829
r3_profile30_vs_r3_inline,clang,rxbvm,Sieve,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,1.0110721075280065,1.107210752800647
r3_profile30_vs_r3_inline,clang,rxbvm,Permute,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,1.0118988871103949,1.1898887110394885
r3_profile30_vs_r3_inline,clang,rxbvm,Bounce,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,0.9972879116465316,-0.2712088353468367
r3_profile30_vs_r3_inline,clang,rxbvm,Richards,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,1.0017088881182992,0.17088881182991678
r3_profile30_vs_r3_inline,clang,rxbvm,Base64,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,1.0071036268565654,0.7103626856565404
r3_profile30_vs_r3_inline,clang,rxbvm,Towers,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,1.0026796543165417,0.2679654316541713
r3_profile30_vs_r3_inline,clang,rxbvm,RexxCPS,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,0.9876253112739384,-1.2374688726061622
r3_inline_vs_r2_inline,clang,rxbvm,Sieve,rxbvm-clang-r3-inline,rxbvm-clang-r2-inline,0.9980660735636607,-0.19339264363392727
r3_inline_vs_r2_inline,clang,rxbvm,Permute,rxbvm-clang-r3-inline,rxbvm-clang-r2-inline,0.9978267713110391,-0.21732286889608599
r3_inline_vs_r2_inline,clang,rxbvm,Bounce,rxbvm-clang-r3-inline,rxbvm-clang-r2-inline,0.9955023376727513,-0.4497662327248686
r3_inline_vs_r2_inline,clang,rxbvm,Richards,rxbvm-clang-r3-inline,rxbvm-clang-r2-inline,0.9898357689977677,-1.0164231002232293
r3_inline_vs_r2_inline,clang,rxbvm,Base64,rxbvm-clang-r3-inline,rxbvm-clang-r2-inline,1.0960902874387568,9.60902874387568
