comparison,compiler,engine,membership,n,geometric_mean,percent
r3_inline_vs_r2_inline,clang,rxbvm,all,7,1.0097180055189257,0.9718005518925654
r3_inline_vs_r2_inline,clang,rxbvm,no_base64,6,0.9950982909016343,-0.49017090983657363
r3_inline_vs_r2_inline,clang,rxtvm,all,7,0.9431666117661814,-5.683338823381856
r3_inline_vs_r2_inline,clang,rxtvm,no_base64,6,0.9491167267731768,-5.088327322682318
r3_inline_vs_r2_inline,gcc,rxbvm,all,7,0.978068891615265,-2.1931108384735
r3_inline_vs_r2_inline,gcc,rxbvm,no_base64,6,0.9761800583885205,-2.381994161147949
r3_inline_vs_r2_inline,gcc,rxtvm,all,7,0.9476906687800193,-5.2309331219980715
r3_inline_vs_r2_inline,gcc,rxtvm,no_base64,6,0.9433701343672014,-5.662986563279859
r3_profile30_vs_r2_inline,clang,rxbvm,all,7,1.017551013293161,1.755101329316111
r3_profile30_vs_r2_inline,clang,rxbvm,no_base64,6,1.0008343605342827,0.08343605342826521
r3_profile30_vs_r2_inline,clang,rxtvm,all,7,0.9920585461073803,-0.7941453892619688
r3_profile30_vs_r2_inline,clang,rxtvm,no_base64,6,0.9984901816186574,-0.15098183813425647
r3_profile30_vs_r2_inline,gcc,rxbvm,all,7,1.0998743750546027,9.987437505460273
r3_profile30_vs_r2_inline,gcc,rxbvm,no_base64,6,1.1096556795100323,10.96556795100323
r3_profile30_vs_r2_inline,gcc,rxtvm,all,7,0.8970920314284274,-10.290796857157257
r3_profile30_vs_r2_inline,gcc,rxtvm,no_base64,6,0.8930774770662264,-10.692252293377358
r3_profile30_vs_r3_inline,clang,rxbvm,all,7,1.0077576191881514,0.7757619188151432
r3_profile30_vs_r3_inline,clang,rxbvm,no_base64,6,1.0057643246753556,0.5764324675355592
r3_profile30_vs_r3_inline,clang,rxtvm,all,7,1.0518380673480834,5.183806734808338
r3_profile30_vs_r3_inline,clang,rxtvm,no_base64,6,1.0520204243089692,5.202042430896925
r3_profile30_vs_r3_inline,gcc,rxbvm,all,7,1.1245367115584033,12.453671155840329
r3_profile30_vs_r3_inline,gcc,rxbvm,no_base64,6,1.136732583271424,13.67325832714239
r3_profile30_vs_r3_inline,gcc,rxtvm,all,7,0.9466084883828935,-5.339151161710653
r3_profile30_vs_r3_inline,gcc,rxtvm,no_base64,6,0.9466883087890942,-5.331169121090584
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,all,7,1.0229715032473157,2.297150324731567
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,no_base64,6,1.0038235180678836,0.38235180678836134
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,all,7,1.1853751130674102,18.537511306741017
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,no_base64,6,1.203523012817483,20.352301281748296
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,all,7,0.9555465599083482,-4.445344009165176
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,no_base64,6,0.9574387780962471,-4.256122190375288
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,all,7,1.1485580855176973,14.855808551769734
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,no_base64,6,1.163071972797636,16.307197279763596
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,all,7,0.9973432377964042,-0.2656762203595786
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,no_base64,6,1.001472337873783,0.14723378737830917
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,all,7,0.9668291145827935,-3.3170885417206475
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,no_base64,6,0.9686241558757901,-3.1375844124209906
