comparison,compiler,engine,membership,n,geometric_mean,percent
r3_inline_vs_r2_inline,clang,rxbvm,all,3,0.9959881069243736,-0.4011893075626438
r3_inline_vs_r2_inline,clang,rxbvm,no_base64,3,0.9959881069243736,-0.4011893075626438
r3_inline_vs_r2_inline,clang,rxtvm,all,3,1.000641705341708,0.06417053417080432
r3_inline_vs_r2_inline,clang,rxtvm,no_base64,3,1.000641705341708,0.06417053417080432
r3_inline_vs_r2_inline,gcc,rxbvm,all,3,1.010272728345131,1.0272728345130933
r3_inline_vs_r2_inline,gcc,rxbvm,no_base64,3,1.010272728345131,1.0272728345130933
r3_inline_vs_r2_inline,gcc,rxtvm,all,3,0.9992015571427539,-0.07984428572460622
r3_inline_vs_r2_inline,gcc,rxtvm,no_base64,3,0.9992015571427539,-0.07984428572460622
r3_profile30_vs_r2_inline,clang,rxbvm,all,3,1.00750802942075,0.7508029420749907
r3_profile30_vs_r2_inline,clang,rxbvm,no_base64,3,1.00750802942075,0.7508029420749907
r3_profile30_vs_r2_inline,clang,rxtvm,all,3,0.9920502114842591,-0.7949788515740908
r3_profile30_vs_r2_inline,clang,rxtvm,no_base64,3,0.9920502114842591,-0.7949788515740908
r3_profile30_vs_r2_inline,gcc,rxbvm,all,3,1.1748379553585846,17.48379553585846
r3_profile30_vs_r2_inline,gcc,rxbvm,no_base64,3,1.1748379553585846,17.48379553585846
r3_profile30_vs_r2_inline,gcc,rxtvm,all,3,1.0394821323249006,3.948213232490061
r3_profile30_vs_r2_inline,gcc,rxtvm,no_base64,3,1.0394821323249006,3.948213232490061
r3_profile30_vs_r3_inline,clang,rxbvm,all,3,1.0115663253569864,1.1566325356986429
r3_profile30_vs_r3_inline,clang,rxbvm,no_base64,3,1.0115663253569864,1.1566325356986429
r3_profile30_vs_r3_inline,clang,rxtvm,all,3,0.9914140158144668,-0.8585984185533246
r3_profile30_vs_r3_inline,clang,rxtvm,no_base64,3,0.9914140158144668,-0.8585984185533246
r3_profile30_vs_r3_inline,gcc,rxbvm,all,3,1.1628918829502786,16.289188295027856
r3_profile30_vs_r3_inline,gcc,rxbvm,no_base64,3,1.1628918829502786,16.289188295027856
r3_profile30_vs_r3_inline,gcc,rxtvm,all,3,1.040312762619516,4.031276261951611
r3_profile30_vs_r3_inline,gcc,rxtvm,no_base64,3,1.040312762619516,4.031276261951611
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,all,3,1.0137030029842864,1.3703002984286394
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,no_base64,3,1.0137030029842864,1.3703002984286394
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,all,3,1.5048048349978682,50.48048349978682
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,no_base64,3,1.5048048349978682,50.48048349978682
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,all,3,1.018439371478587,1.8439371478587097
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,no_base64,3,1.018439371478587,1.8439371478587097
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,all,3,1.488314285973828,48.83142859738281
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,no_base64,3,1.488314285973828,48.83142859738281
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,all,3,0.9981501378911773,-0.1849862108822653
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,no_base64,3,0.9981501378911773,-0.1849862108822653
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,all,3,1.3314327575831282,33.14327575831282
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,no_base64,3,1.3314327575831282,33.14327575831282
