comparison,compiler,engine,workload,candidate,baseline,ratio_higher_is_better,percent
r3_profile30_vs_r2_inline,clang,rxbvm,Sieve,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,1.0097793561475963,0.9779356147596285
r3_profile30_vs_r2_inline,clang,rxbvm,Permute,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,1.0099312838263361,0.9931283826336124
r3_profile30_vs_r2_inline,clang,rxbvm,Bounce,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,0.9906702759374916,-0.9329724062508427
r3_profile30_vs_r2_inline,clang,rxbvm,Richards,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,0.9976657638754248,-0.2334236124575173
r3_profile30_vs_r2_inline,clang,rxbvm,Base64,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,1.1238803943101447,12.388039431014475
r3_profile30_vs_r2_inline,clang,rxbvm,Towers,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,1.003585117680109,0.358511768010894
r3_profile30_vs_r2_inline,clang,rxbvm,RexxCPS,rxbvm-clang-r3-profile30,rxbvm-clang-r2-inline,0.9935426510899252,-0.6457348910074767
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,Sieve,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,1.0334276130105955,3.342761301059549
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,Permute,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,1.0043684120102274,0.4368412010227418
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,Bounce,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,0.9911275843781465,-0.887241562185348
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,Richards,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,0.990003857352907,-0.9996142647093031
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,Base64,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,1.14577819405788,14.577819405787995
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,Towers,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,1.0213164839775868,2.1316483977586786
rxtvm_vs_rxbvm_r2-inline,clang,rxtvm,RexxCPS,rxtvm-clang-r2-inline,rxbvm-clang-r2-inline,0.9836583873948975,-1.6341612605102473
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,Sieve,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,0.9580890583880897,-4.1910941611910335
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,Permute,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,0.883269407440865,-11.673059255913499
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,Bounce,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,0.8992473548638691,-10.075264513613092
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,Richards,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,0.9898391877304558,-1.016081226954424
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,Base64,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,0.944271525345609,-5.572847465439102
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,Towers,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,1.0094691261178914,0.9469126117891413
rxtvm_vs_rxbvm_r3-inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-inline,rxbvm-clang-r3-inline,1.0130483114316766,1.3048311431676618
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,Sieve,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,1.0072169190094749,0.7216919009474854
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,Permute,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,0.9816912984826299,-1.8308701517370074
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,Bounce,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,1.0085669071988275,0.8566907198827467
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,Richards,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,1.0006719864196065,0.06719864196065295
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,Base64,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,0.9729237031496538,-2.707629685034618
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,Towers,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,1.0075347190577488,0.7534719057748829
rxtvm_vs_rxbvm_r3-profile30,clang,rxtvm,RexxCPS,rxtvm-clang-r3-profile30,rxbvm-clang-r3-profile30,1.0034120614545068,0.34120614545067873
r3_profile30_vs_r3_inline,gcc,rxtvm,Sieve,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,0.8970007003816617,-10.299929961833831
r3_profile30_vs_r3_inline,gcc,rxtvm,Permute,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,0.8652020146902643,-13.479798530973575
r3_profile30_vs_r3_inline,gcc,rxtvm,Bounce,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,0.9092623544478824,-9.07376455521176
r3_profile30_vs_r3_inline,gcc,rxtvm,Richards,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,0.9760327190331585,-2.396728096684153
r3_profile30_vs_r3_inline,gcc,rxtvm,Base64,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,0.946129707257714,-5.387029274228605
r3_profile30_vs_r3_inline,gcc,rxtvm,Towers,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,0.992076969599939,-0.7923030400061037
r3_profile30_vs_r3_inline,gcc,rxtvm,RexxCPS,rxtvm-gcc-r3-profile30,rxtvm-gcc-r3-inline,1.0534958361885203,5.349583618852027
r3_inline_vs_r2_inline,gcc,rxtvm,Sieve,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,0.9531372418627084,-4.686275813729157
r3_inline_vs_r2_inline,gcc,rxtvm,Permute,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,0.906005024434068,-9.399497556593195
r3_inline_vs_r2_inline,gcc,rxtvm,Bounce,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,0.8256550483418734,-17.434495165812656
r3_inline_vs_r2_inline,gcc,rxtvm,Richards,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,0.9784576112446449,-2.154238875535508
r3_inline_vs_r2_inline,gcc,rxtvm,Base64,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,0.9740326010046424,-2.5967398995357605
r3_inline_vs_r2_inline,gcc,rxtvm,Towers,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,0.9922104978492796,-0.7789502150720384
r3_inline_vs_r2_inline,gcc,rxtvm,RexxCPS,rxtvm-gcc-r3-inline,rxtvm-gcc-r2-inline,1.018268288223167,1.8268288223167062
r3_profile30_vs_r2_inline,gcc,rxtvm,Sieve,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,0.8549647735106948,-14.503522648930522
r3_profile30_vs_r2_inline,gcc,rxtvm,Permute,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,0.7838773724598578,-21.61226275401422
r3_profile30_vs_r2_inline,gcc,rxtvm,Bounce,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,0.750737053217112,-24.926294678288798
r3_profile30_vs_r2_inline,gcc,rxtvm,Richards,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,0.9550066427617999,-4.499335723820009
r3_profile30_vs_r2_inline,gcc,rxtvm,Base64,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,0.9215611796479919,-7.843882035200811
