handler,file,line,callee,decision,all_inline_count,profile30_count,delta
CALL_REG_FUNC,rxvmhandlers_control.inc,2184,rxsignal_mask,inlined,2,2,0
CALL_REG_FUNC,rxvmhandlers_control.inc,2184,set_null_string,inlined,2,2,0
CALL_REG_FUNC,rxvmhandlers_control.inc,2184,value_zero,inlined,3,3,0
CALL_REG_FUNC_REG,rxvmhandlers_control.inc,2320,frame_f,inlined,1,1,0
CALL_REG_FUNC_REG,rxvmhandlers_control.inc,2320,interrupt_from_rxpa_signal,inlined,1,1,0
CALL_REG_FUNC_REG,rxvmhandlers_control.inc,2320,rxsignal_mask,inlined,2,2,0
CALL_REG_FUNC_REG,rxvmhandlers_control.inc,2320,set_null_string,inlined,2,2,0
CALL_REG_FUNC_REG,rxvmhandlers_control.inc,2320,value_zero,inlined,2,2,0
CONCAT_REG_REG_REG,rxvmhandlers_control.inc,1019,string_concat,inlined,1,1,0
CONCAT_REG_REG_STRING,rxvmhandlers_control.inc,1038,string_concat_var_const,inlined,1,1,0
CONCAT_REG_STRING_REG,rxvmhandlers_control.inc,1058,string_concat_const_var,inlined,1,1,0
COPY_REG_REG,rxvmhandlers_numeric.inc,1810,copy_value,not inlined,1,1,0
DADD_REG_REG_REG,rxvmhandlers_control.inc,1602,rxsignal_mask,inlined,1,1,0
DADD_REG_REG_REG,rxvmhandlers_control.inc,1602,set_null_string,inlined,1,1,0
DADD_REG_REG_REG,rxvmhandlers_control.inc,1602,value_zero,inlined,1,1,0
DCOPY_REG_REG,rxvmhandlers_control.inc,2066,rxvm_value_decimal_data,inlined,2,2,0
DCOPY_REG_REG,rxvmhandlers_control.inc,2066,rxvm_value_decimal_length,inlined,2,2,0
DCOPY_REG_REG,rxvmhandlers_control.inc,2066,rxvm_value_reserve_decimal,inlined,1,1,0
DCOPY_REG_REG,rxvmhandlers_control.inc,2066,rxvm_value_set_decimal_length,inlined,1,1,0
DEQ_REG_REG_REG,rxvmhandlers_control.inc,1810,rxsignal_mask,inlined,1,1,0
DEQ_REG_REG_REG,rxvmhandlers_control.inc,1810,set_int,inlined,1,1,0
DEQ_REG_REG_REG,rxvmhandlers_control.inc,1810,set_null_string,inlined,1,1,0
DEQ_REG_REG_REG,rxvmhandlers_control.inc,1810,value_zero,inlined,1,1,0
DGT_REG_REG_REG,rxvmhandlers_control.inc,1836,rxsignal_mask,inlined,1,1,0
DGT_REG_REG_REG,rxvmhandlers_control.inc,1836,set_int,inlined,1,1,0
DGT_REG_REG_REG,rxvmhandlers_control.inc,1836,set_null_string,inlined,1,1,0
DGT_REG_REG_REG,rxvmhandlers_control.inc,1836,value_zero,inlined,1,1,0
DLT_REG_REG_REG,rxvmhandlers_control.inc,1862,rxsignal_mask,inlined,1,1,0
DLT_REG_REG_REG,rxvmhandlers_control.inc,1862,set_int,inlined,1,1,0
DLT_REG_REG_REG,rxvmhandlers_control.inc,1862,set_null_string,inlined,1,1,0
DLT_REG_REG_REG,rxvmhandlers_control.inc,1862,value_zero,inlined,1,1,0
DMULT_REG_REG_REG,rxvmhandlers_control.inc,1680,rxsignal_mask,inlined,1,1,0
DMULT_REG_REG_REG,rxvmhandlers_control.inc,1680,set_null_string,inlined,1,1,0
DMULT_REG_REG_REG,rxvmhandlers_control.inc,1680,value_zero,inlined,1,1,0
DTOS_REG,rxvmhandlers_control.inc,1544,extend_string_buffer,inlined,1,1,0
DTOS_REG,rxvmhandlers_control.inc,1544,finish_ascii_string_write,inlined,1,1,0
DTOS_REG,rxvmhandlers_control.inc,1544,rxsignal_mask,inlined,1,1,0
DTOS_REG,rxvmhandlers_control.inc,1544,set_null_string,inlined,1,1,0
DTOS_REG,rxvmhandlers_control.inc,1544,value_zero,inlined,1,1,0
ENDLIFE_REG,rxvmhandlers_control.inc,2925,release_value_reference_lifetime,not inlined,1,1,0
FADD_REG_REG_REG,rxvmhandlers_string.inc,86,set_float,inlined,1,1,0
FDIV_REG_FLOAT_REG,rxvmhandlers_string.inc,219,set_float,inlined,1,1,0
FDIV_REG_REG_FLOAT,rxvmhandlers_string.inc,171,set_float,inlined,1,1,0
FDIV_REG_REG_REG,rxvmhandlers_string.inc,111,set_float,inlined,1,1,0
FEQ_REG_REG_FLOAT,rxvmhandlers_numeric.inc,1206,set_int,inlined,1,1,0
FGT_REG_REG_FLOAT,rxvmhandlers_numeric.inc,1255,set_int,inlined,1,1,0
FMULT_REG_REG_FLOAT,rxvmhandlers_string.inc,195,set_float,inlined,1,1,0
FMULT_REG_REG_REG,rxvmhandlers_string.inc,135,set_float,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,ascii_back_nonblank,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,ascii_fwd_nonblank,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,has_utf8_valid_count_or_empty,inlined,2,2,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,refresh_utf8_flags,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,rxsignal_mask,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,set_int,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,set_null_string,inlined,1,1,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,string_cache_seek_char,inlined,2,2,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,utf8codepoint,inlined,2,2,0
FNDNBLNK_REG_REG_REG,rxvmhandlers_string.inc,1131,value_zero,inlined,1,1,0
FSUB_REG_REG_REG,rxvmhandlers_string.inc,99,set_float,inlined,1,1,0
FTOS_REG,rxvmhandlers_string.inc,361,float_to_string,inlined,1,1,0
GETATTRS_REG_REG_INT,rxvmhandlers_control.inc,3219,set_int,inlined,1,1,0
IADD_REG_REG_INT,rxvmhandlers_control.inc,1122,rxinteger_checked_add,inlined,1,1,0
IADD_REG_REG_INT,rxvmhandlers_control.inc,1122,rxsignal_mask,inlined,1,1,0
IADD_REG_REG_INT,rxvmhandlers_control.inc,1122,set_int,inlined,1,1,0
IADD_REG_REG_INT,rxvmhandlers_control.inc,1122,value_zero,inlined,1,1,0
IADD_REG_REG_REG,rxvmhandlers_control.inc,1096,rxinteger_checked_add,inlined,1,1,0
IADD_REG_REG_REG,rxvmhandlers_control.inc,1096,rxsignal_mask,inlined,1,1,0
IADD_REG_REG_REG,rxvmhandlers_control.inc,1096,set_int,inlined,1,1,0
IADD_REG_REG_REG,rxvmhandlers_control.inc,1096,value_zero,inlined,1,1,0
IAND_REG_REG_INT,rxvmhandlers_numeric.inc,2126,set_int,inlined,1,1,0
IDIV_REG_REG_INT,rxvmhandlers_numeric.inc,1911,rxsignal_mask,inlined,2,2,0
IDIV_REG_REG_INT,rxvmhandlers_numeric.inc,1911,set_int,inlined,1,1,0
IDIV_REG_REG_INT,rxvmhandlers_numeric.inc,1911,value_zero,inlined,2,2,0
IEQ_REG_REG_INT,rxvmhandlers_numeric.inc,985,set_int,inlined,1,1,0
IEQ_REG_REG_REG,rxvmhandlers_numeric.inc,973,set_int,inlined,1,1,0
IGTE_REG_REG_INT,rxvmhandlers_numeric.inc,1105,set_int,inlined,1,1,0
IGTE_REG_REG_REG,rxvmhandlers_numeric.inc,1093,set_int,inlined,1,1,0
IGT_REG_REG_INT,rxvmhandlers_numeric.inc,1033,set_int,inlined,1,1,0
IGT_REG_REG_REG,rxvmhandlers_numeric.inc,1021,set_int,inlined,1,1,0
ILOADSETUNLINKN_REG_REG_INT_REG,rxvmhandlers_system.inc,1695,set_int,inlined,1,1,0
ILTE_REG_REG_INT,rxvmhandlers_numeric.inc,1141,set_int,inlined,1,1,0
ILTE_REG_REG_REG,rxvmhandlers_numeric.inc,1129,set_int,inlined,1,1,0
ILT_REG_REG_INT,rxvmhandlers_numeric.inc,1069,set_int,inlined,1,1,0
ILT_REG_REG_REG,rxvmhandlers_numeric.inc,1057,set_int,inlined,1,1,0
IMOD_REG_REG_INT,rxvmhandlers_numeric.inc,1953,rxsignal_mask,inlined,2,2,0
IMOD_REG_REG_INT,rxvmhandlers_numeric.inc,1953,set_int,inlined,1,1,0
IMOD_REG_REG_INT,rxvmhandlers_numeric.inc,1953,value_zero,inlined,2,2,0
IMULT_REG_REG_INT,rxvmhandlers_control.inc,1081,rxinteger_checked_mul,inlined,1,1,0
IMULT_REG_REG_INT,rxvmhandlers_control.inc,1081,rxsignal_mask,inlined,1,1,0
