benchmark,vm,mode,lifecycle,phase,sequence,elapsed_ns,platform,crexx_version,vm_role,result_role
cd,rxvm,opt,process,warmup,1,313238000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,opt,process,recorded,1,309329000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,opt,process,recorded,2,311334000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,opt,process,recorded,3,315802000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,opt,process,recorded,4,313356000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,opt,process,recorded,5,312990000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxtvm,opt,process,warmup,1,310215000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,opt,process,recorded,1,312922000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,opt,process,recorded,2,307415000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,opt,process,recorded,3,308441000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,opt,process,recorded,4,315918000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,opt,process,recorded,5,315978000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxvm,noopt,process,warmup,1,60990000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,noopt,process,recorded,1,56847000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,noopt,process,recorded,2,60717000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,noopt,process,recorded,3,60636000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,noopt,process,recorded,4,60709000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxvm,noopt,process,recorded,5,60708000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,product,process-smoke
cd,rxtvm,noopt,process,warmup,1,57674000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,noopt,process,recorded,1,57789000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,noopt,process,recorded,2,54944000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,noopt,process,recorded,3,56989000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,noopt,process,recorded,4,60707000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
cd,rxtvm,noopt,process,recorded,5,60696000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g31de35745a91.dirty 20260817,concrete-engine-control,process-smoke
