sequence,vm,phase,phase_sequence,source_sha256,rxas_sha256,image_sha256,native_cps,process_real_s,effective_count,pass,stdout,stderr
1,rxvm,warmup,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1153845,8.69,100,1,accepted-c/raw/01-rxvm-warmup-1.stdout.txt,accepted-c/raw/01-rxvm-warmup-1.stderr.txt
2,rxvm,recorded,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1172036,8.55,100,1,accepted-c/raw/02-rxvm-recorded-1.stdout.txt,accepted-c/raw/02-rxvm-recorded-1.stderr.txt
3,rxvm,recorded,2,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1138702,8.80,100,1,accepted-c/raw/03-rxvm-recorded-2.stdout.txt,accepted-c/raw/03-rxvm-recorded-2.stderr.txt
4,rxvm,recorded,3,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1145721,8.74,100,1,accepted-c/raw/04-rxvm-recorded-3.stdout.txt,accepted-c/raw/04-rxvm-recorded-3.stderr.txt
5,rxbvm,warmup,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1143027,8.77,100,1,accepted-c/raw/05-rxbvm-warmup-1.stdout.txt,accepted-c/raw/05-rxbvm-warmup-1.stderr.txt
6,rxbvm,recorded,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1114685,8.99,100,1,accepted-c/raw/06-rxbvm-recorded-1.stdout.txt,accepted-c/raw/06-rxbvm-recorded-1.stderr.txt
7,rxbvm,recorded,2,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1132910,8.84,100,1,accepted-c/raw/07-rxbvm-recorded-2.stdout.txt,accepted-c/raw/07-rxbvm-recorded-2.stderr.txt
8,rxbvm,recorded,3,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,aba5b72b9e7d9654af4d3c9407a6aab936d161157061998f3eb6ee08beb49c13,c885dcf9d6a3818119757b9cafed892ec9dd5a9a96bd6d2dd9fcc23fc68495a9,1098014,9.12,100,1,accepted-c/raw/08-rxbvm-recorded-3.stdout.txt,accepted-c/raw/08-rxbvm-recorded-3.stderr.txt
