vm,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,3,1145721,1152153.000,1138702,1172036,8.74,8.697,8.55,8.80
rxbvm,3,1114685,1115203.000,1098014,1132910,8.99,8.983,8.84,9.12
