mask,benchmark,procedures,nodes,cells,exact,unknown,links_exact,links_unknown,unlinks,joins,join_unknown,full_copy,full_copy_exact,full_copy_base,tainted_full,normal_edges,skip_edges,retry_edges
0,Richards,24,4742,176729,171411,5318,649,0,642,101,79,71,69,69,55,4800,1162,1162
0,Towers,13,1569,40290,39472,818,64,0,61,87,14,64,21,21,56,1601,250,250
1,Richards,24,4729,173361,168043,5318,649,0,642,101,79,63,61,61,55,4787,1162,1162
1,Towers,13,1569,40290,39472,818,64,0,61,87,14,64,21,21,56,1601,250,250
2,Richards,24,4764,179813,176211,3602,649,0,642,101,6,69,67,67,53,4822,1166,1166
2,Towers,13,1569,40290,39472,818,64,0,61,87,14,64,21,21,56,1601,250,250
3,Richards,24,4751,176445,172843,3602,649,0,642,101,6,61,59,59,53,4809,1166,1166
3,Towers,13,1569,40290,39472,818,64,0,61,87,14,64,21,21,56,1601,250,250
4,Richards,24,4742,176729,171411,5318,649,0,642,101,79,71,69,69,55,4800,1162,1162
4,Towers,13,1565,39852,39034,818,64,0,61,87,14,61,18,18,54,1597,250,250
7,Richards,24,4751,176445,172843,3602,649,0,642,101,6,61,59,59,53,4809,1166,1166
7,Towers,13,1565,39852,39034,818,64,0,61,87,14,61,18,18,54,1597,250,250
