mask,id,rxc_sha256,richards_opt_rxas_sha256,towers_opt_rxas_sha256,benchmark_cells_passed,benchmark_cells_total,focused_structural_result,disposition
0,C0,2bc0d111b53215b9f6c88f7a05ecd121617c17c78ea4fa2824273bf3fa7d2a29,ec61aa8cb044312675502c0ce2a46d4f131e0640bae6188d5db007bfb8731673,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,14,14,nested-and-reference-2-of-2-pass,control
1,C1a-R2,0decd6b391939bda35774ac7cb0c734baf0c51467ef122d58a8b177320a825e2,ea1d884d979bf7867efae1cd60102cf7a4db88bc901ae989571d65e19d9274b0,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,14,14,nested-and-reference-2-of-2-pass,correct-speed-eligible
2,C1b-R1,0323b70207c22486896d6883a80ca4388f6a4c164d03737bcefc3a3a8ed6be52,7b26e91dd94f513e40d181ee1f4e7222d0067093cf7e9acd8500fb257deeaee4,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,14,14,guard-nested-reference-3-of-3-pass,correct-speed-eligible
3,C1ab-R1,1d4694a78528e8b3fd1d760748aaea3b2fbbf02bf8e215b23acb2b48a5cb8415,ac1737cc7d6d7ba59a1a3771d1c6d977b974f5d5c23fa5f10c032f0d00c259d9,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,14,14,guard-nested-reference-3-of-3-pass,correct-speed-eligible
4,C1c-R1,c869ce1b8ae2b713e05d894e8f4217e9b4a0fe0b7cb311b7d3a2cd284a3b8f04,ec61aa8cb044312675502c0ce2a46d4f131e0640bae6188d5db007bfb8731673,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e,14,14,nested-and-reference-2-of-2-pass,correct-speed-eligible
7,C1abc-R1,3d924a5d96d6339f01719336e49408c33bdeba00065ed4b1698752bcac4d3a60,ac1737cc7d6d7ba59a1a3771d1c6d977b974f5d5c23fa5f10c032f0d00c259d9,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e,14,14,guard-nested-reference-3-of-3-pass,recommended-production-ladder-pending-approval
8,C1a-R1-negative,792ed2535b60bee83051162f2be2f17e92e2d5285df80d83f9337c27d6b25325,f9a478b2674dbd4a402039f735e362056e058374b65a3e243e278baa50d7b92b,e78bc406672af9c3fc7f9434ad9a4790d9fd12fe0df2852d05696fd2fffcadba,12,14,not-applicable,correctness-rejected-optimized-richards-0-1
14,C1broad-plus-C1c,bcce0a8bcb4bfbd8ea1f3b0dca69a009c9abfdf79060d3fef8aa7b4627704cf9,ac1737cc7d6d7ba59a1a3771d1c6d977b974f5d5c23fa5f10c032f0d00c259d9,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e,14,14,detached-guard-fail-closed-0-of-1,correctness-rejected-crosses-call-bearing-guard
