entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,26419000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,23313000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,72046000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,96328000,0,pass
mandelbrot-noopt,mandelbrot,Mandelbrot,baseline,noopt,process,recorded,1,188427000,0,pass
mandelbrot-opt,mandelbrot,Mandelbrot,candidate,opt,process,recorded,1,182869000,0,pass
towers-noopt,towers,Towers,baseline,noopt,process,recorded,1,344684000,0,pass
towers-opt,towers,Towers,candidate,opt,process,recorded,1,766516000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,324789000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,412654000,0,pass
storage-noopt,storage,Storage,baseline,noopt,process,recorded,1,824148000,0,pass
storage-opt,storage,Storage,candidate,opt,process,recorded,1,2103340000,0,pass
list-noopt,list,List,baseline,noopt,process,recorded,1,232918000,0,pass
list-opt,list,List,candidate,opt,process,recorded,1,276402000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,60193000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,693360000,0,pass
json-noopt,json,JSON,baseline,noopt,process,recorded,1,296820000,0,pass
json-opt,json,JSON,candidate,opt,process,recorded,1,300448000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,399705000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,402617000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,418871000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,417610000,0,pass
