comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.738343
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.941985
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,5.707178
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.644804
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,9.626986
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.593407
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.387701
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.455377
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,4.886098
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.973883
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,3.713474
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.500167
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.335528
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.168576
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.330456
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.166028
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.657753
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.615201
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.613962
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.574243
