rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,8696048,3,1,4,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R7;r2=R5;r3=R6;c1=label@408","benchmark_awfy_mandelbrot_noopt",202
2,8544879,5,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R3;c1=int:1;c2=label@79","benchmark_awfy_mandelbrot_noopt",69
3,8445547,3,1,2,candidate,"INC_REG(r1) | BR_ID(c1)","r1=R17;c1=label@280","benchmark_awfy_mandelbrot_noopt",336
4,8294876,1,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@340;r1=R19;r2=R20;r3=R8;c2=int:0","benchmark_awfy_mandelbrot_noopt",284
5,8195047,1,1,5,candidate,"BRF_ID_REG(c1,r1) | FSUB_REG_REG_REG(r2,r3,r4)","c1=label@340;r1=R20;r2=R21;r3=R13;r4=R12","benchmark_awfy_mandelbrot_noopt",291
6,8195047,1,1,4,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FGT_REG_REG_FLOAT(r1,r1,c1)","r1=R21;r2=R13;r3=R12;c1=float@19856","benchmark_awfy_mandelbrot_noopt",322
7,8195047,1,1,4,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_FLOAT(r2,r1,c1)","r1=R16;r2=R21;r3=R9;c1=float@12040","benchmark_awfy_mandelbrot_noopt",298
8,8195047,1,1,5,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_REG(r4,r5,r5)","r1=R11;r2=R21;r3=R4;r4=R13;r5=R16","benchmark_awfy_mandelbrot_noopt",310
9,8195047,1,1,3,candidate,"FGT_REG_REG_FLOAT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R21;c1=float@19856;c2=label@336","benchmark_awfy_mandelbrot_noopt",326
10,8195047,1,1,4,candidate,"FMULT_REG_REG_FLOAT(r1,r2,c1) | FMULT_REG_REG_REG(r1,r1,r3)","r1=R21;r2=R16;c1=float@12040;r3=R11","benchmark_awfy_mandelbrot_noopt",302
11,8195047,1,1,3,candidate,"FMULT_REG_REG_REG(r1,r1,r2) | FADD_REG_REG_REG(r2,r1,r3)","r1=R21;r2=R11;r3=R4","benchmark_awfy_mandelbrot_noopt",306
12,8195047,1,1,4,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FADD_REG_REG_REG(r3,r4,r1)","r1=R12;r2=R11;r3=R21;r4=R13","benchmark_awfy_mandelbrot_noopt",318
13,8195047,1,1,4,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FMULT_REG_REG_REG(r3,r4,r4)","r1=R13;r2=R16;r3=R12;r4=R11","benchmark_awfy_mandelbrot_noopt",314
14,8195047,1,1,5,candidate,"FSUB_REG_REG_REG(r1,r2,r3) | FADD_REG_REG_REG(r4,r1,r5)","r1=R21;r2=R13;r3=R12;r4=R16;r5=R9","benchmark_awfy_mandelbrot_noopt",294
15,750000,3,1,3,candidate,"LOAD_REG_FLOAT(r1,c1) | FCOPY_REG_REG(r2,r1)","r1=R16;c1=float@13632;r2=R13","benchmark_awfy_mandelbrot_noopt",238
16,500000,2,1,3,candidate,"FCOPY_REG_REG(r1,r2) | LOAD_REG_FLOAT(r2,c1)","r1=R13;r2=R16;c1=float@13632","benchmark_awfy_mandelbrot_noopt",241
17,281503,6,1,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R2;c1=int:0;r2=R1","benchmark_awfy_mandelbrot_noopt",186
18,250500,2,1,6,candidate,"FDIVSUB_REG_REG_REG_FLOAT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c2)","r1=R4;r2=R8;r3=R9;c1=float@12224;r4=R10;c2=int:0","benchmark_awfy_mandelbrot_noopt",219
19,250500,2,1,4,candidate,"FMULT_REG_REG_FLOAT(r1,r1,c1) | ITOF_REG_REG(r2,r3)","r1=R8;c1=float@12040;r2=R9;r3=R23","benchmark_awfy_mandelbrot_noopt",212
20,250500,2,1,5,candidate,"ITOF_REG_REG(r1,r2) | FDIVSUB_REG_REG_REG_FLOAT(r3,r4,r1,c1)","r1=R9;r2=R23;r3=R4;r4=R8;c1=float@12224","benchmark_awfy_mandelbrot_noopt",216
21,250500,2,1,3,candidate,"ITOF_REG_REG(r1,r2) | FMULT_REG_REG_FLOAT(r1,r1,c1)","r1=R8;r2=R5;c1=float@12040","benchmark_awfy_mandelbrot_noopt",209
22,250000,1,1,4,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_FLOAT(r2,c2)","c1=label@404;r1=R15;r2=R16;c2=float@13632","benchmark_awfy_mandelbrot_noopt",235
