artifact,role,sha256,bytes,instructions
tests/benchmarks/awfy_deltablue.crexx,benchmark-source,4c5774f34a18b44ba0dbbf3cb5266e8a96b292dea53260fa5a737046e706b224,20357,
tests/benchmarks/run_benchmarks.crexx,maintained-runner-source,1b9c32fc0a3d7ccb2dcd5ca72e831a78a6d0a6b7efacce6dd91f2e7b2d2bde71,13994,
benchmark_awfy_deltablue_opt.rxas,optimized-source-rxas,41f4e84f2851db87656f8bd0783241f3fb1a1973191c6e61087f541e0a7b2f4e,1011990,6656
benchmark_awfy_deltablue_noopt.rxas,unoptimized-source-rxas,210e623f32beca1a953f2ee4c9647bdcd94cb3661f3fa90ed756a75fcab67725,227542,1566
benchmark_awfy_deltablue_opt.rxbin,optimized-source-rxbin,048d8b469f27ab61370ee996d9bf29628bb10276d0c0101b528f7d0d37a0cebe,282182,
benchmark_awfy_deltablue_noopt.rxbin,unoptimized-source-rxbin,cd2118961e7b04688324422803cd363371e8f50bb59c229c8c0a51db99862988,80482,
deltablue-opt-linked.rxbin,optimized-stripped-linked,1e1410150ce13cd0eddfe71b7b20f2a1de4beaad452ef574e188222f42027a2c,42894,6597
deltablue-noopt-linked.rxbin,unoptimized-stripped-linked,c2cf533b37d7fdf4ed07b6f0e214598a8d6e499ccc4d9742179e879ab01af015,26194,1566
benchmark_runner_opt.rxas,optimized-runner-rxas,5827d3bdcd28f417df083ccaa006f7cd01f93b378cd6908957d3e1d3b9ef1947,394167,2947
benchmark_runner_noopt.rxas,unoptimized-runner-rxas,f6a111ad05eba638c3c82ed888df0db10d514eaa800a277726b10c6bf1a811a2,143496,1109
benchmark_runner_opt.rxbin,optimized-runner-rxbin,d6606d7471a647630a6104e115cdcfbfb23f4c8a90bd915eb19416bff2380eff,112131,
benchmark_runner_noopt.rxbin,unoptimized-runner-rxbin,4b405c33789067228a7531b2a63fb03de2cfca0a5c3a3185152bde1a366d7cfa,55104,
