workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
sha256-64,rxbvm,native,process,recorded,1,11834000,0,pass,7249,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,2,15829000,0,pass,7315,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,3,13627000,0,pass,7278,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,4,15722000,0,pass,7300,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,5,15776000,0,pass,7280,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,6,15727000,0,pass,8054,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,7,15884000,0,pass,7611,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,8,15791000,0,pass,7384,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,9,15919000,0,pass,7469,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
sha256-64,rxbvm,native,process,recorded,10,15809000,0,pass,7366,digest=C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD
