rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
213,5000,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c2,r4,c3,r5)","r1=R13;c1=int:0;r2=R28;r3=R24;c2=int:13;r4=R1;c3=int:256;r5=R25","rxjson",991
214,5000,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | NULLN_REG_REG_REG_REG(r3,r4,r5,r6)","r1=R12;c1=int:0;r2=R13;r3=R6;r4=R4;r5=R3;r6=R0","rxjson",899
215,5000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r4)","r1=R110;c1=int:1;r2=R111;c2=int:5;r3=R112;r4=R51","rxjson",10826
216,5000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R32;c1=int:1;r2=R30;c2=int:0;r3=R29","rxjson",1318
217,5000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SCOPY_REG_REG(r3,r4)","r1=R4;c1=int:0;r2=R5;c2=int:1;r3=R12;r4=R40","rxjson",7809
218,5000,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | SCOPY_REG_REG(r6,r7)","r1=R13;c1=int:0;r2=R6;r3=R4;r4=R3;r5=R0;r6=R9;r7=R97","rxjson",902
219,5000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R8;c1=int:2;r2=R1;c2=int:256;r3=R9","benchmark_json_parser_noopt",113
220,5000,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | BR_ID(c2)","r1=R3;c1=int:0;r2=R1;c2=label@7800","rxjson",7792
221,5000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r4,r1)","r1=R11;c1=int:0;r2=R12;r3=R0;r4=R5","rxjson",7818
222,5000,1,1,6,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R10;c1=string@6312;r2=R8;c2=int:2;r3=R1;c3=int:256","benchmark_json_parser_noopt",110
223,5000,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c1) | ISETUNLINK_REG_REG(r1,r4)","r1=R38;r2=R41;r3=R4;c1=int:0;r4=R36","rxjson",9042
224,5000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c2) | ISETUNLINK_REG_REG(r1,r4)","r1=R33;r2=R43;r3=R4;c1=int:0;r4=R31;c2=int:-1","rxjson",9340
225,5000,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R38;r2=R42;r3=R4;c1=int:0;r4=R1","rxjson",9053
226,5000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | SCOPY_REG_REG(r4,r5) | STOBIN_REG(r4)","r1=R38;r2=R44;r3=R4;c1=int:0;r4=R36;r5=R1","rxjson",9351
227,5000,1,1,8,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | COPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R26;r2=R25;r3=R24;r4=R10;r5=R33;r6=R1;r7=R28;r8=R2","rxjson",1199
228,5000,1,1,8,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r6) | SCOPY_REG_REG(r7,r8)","r1=R6;r2=R4;r3=R3;r4=R0;r5=R9;r6=R97;r7=R7;r8=R98","rxjson",905
229,5000,1,1,4,candidate,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1)","r1=R1;r2=R2;c1=int:0;r3=R11","rxjson",891
230,5000,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | LOAD_REG_INT(r2,c3)","c1=int:18;c2=int:1;r1=R1;r2=R2;c3=int:0","rxjson",887
231,5000,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c3)","c1=int:18;c2=int:1;r1=R1;r2=R40;r3=R3;c3=int:0","rxjson",7785
232,5000,1,1,5,candidate,"RGTE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | RLTE_REG_REG_STRING(r1,r2,c3)","r1=R31;r2=R34;c1=string@314864;c2=label@9273;c3=string@2193304","rxjson",9262
233,5000,1,1,6,candidate,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ISUB_REG_REG_REG(r5,r6,r4)","r1=R24;r2=R40;r3=R27;r4=R3;r5=R35;r6=R5","rxjson",8855
234,5000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | RGTE_REG_REG_STRING(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R34;r2=R16;r3=R31;c1=string@314864;c2=label@9273","rxjson",9259
235,5000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r1)","r1=R9;r2=R97;r3=R7;r4=R98;r5=R1","rxjson",910
236,5000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | STOBIN_REG(r3)","r1=R7;r2=R98;r3=R1;r4=R9","rxjson",913
237,5000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | BCOPY_REG_REG(r3,r1)","r1=R36;r2=R1;r3=R38","rxjson",9356
238,5000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | COPY_REG_REG(r3,r1)","r1=R1;r2=R9;r3=R22","rxjson",916
239,5000,1,1,2,candidate,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | SCOPY_REG_REG(r1,r2)","r1=R38;r2=R1","rxjson",9058
240,5000,1,1,8,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTPCALL_REG_FUNC_REG_REG_INT(r3,c2,r4,r5,c3)","r1=R1;c1=int:256;r2=R9;r3=R3;c2=func@6440;r4=R8;r5=R10;c3=int:768","benchmark_json_parser_noopt",116
241,5000,1,1,2,candidate,"STOBIN_REG(r1) | BCOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R36;r2=R38","rxjson",9359
242,5000,1,1,4,candidate,"STOBIN_REG(r1) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c1)","r1=R1;r2=R22;r3=R23;c1=int:0","rxjson",919
243,5000,1,1,5,candidate,"STRLEN_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R11;r2=R12;r3=R0;r4=R5;c1=label@9368","rxjson",7821
244,5000,1,1,15,candidate,"SWAPN_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r7,c1,r8,r9,r10) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r11,c1,r12,r13,r14)","r1=R26;r2=R2;r3=R27;r4=R8;r5=R29;r6=R5;r7=R3;c1=int:256;r8=R30;r9=R0;r10=R31;r11=R4;r12=R32;r13=R6;r14=R33","rxjson",1003
245,5000,1,1,11,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | IEQ_REG_REG_INT(r9,r9,c1) | BRF_ID_REG(c2,r9)","r1=R10;r2=R34;r3=R11;r4=R35;r5=R12;r6=R36;r7=R13;r8=R37;r9=R38;c1=int:0;c2=label@1074","rxjson",1053
246,5000,1,1,18,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | IEQ_REG_REG_INT(r17,r17,c1)","r1=R3;r2=R30;r3=R0;r4=R31;r5=R4;r6=R32;r7=R6;r8=R33;r9=R10;r10=R34;r11=R11;r12=R35;r13=R12;r14=R36;r15=R13;r16=R37;r17=R38;c1=int:0","rxjson",1044
247,5000,1,1,12,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAP_REG_REG(r9,r10) | ILT_REG_REG_INT(r10,r11,c1)","r1=R7;r2=R25;r3=R3;r4=R26;r5=R0;r6=R27;r7=R4;r8=R28;r9=R6;r10=R29;r11=R5;c1=int:0","rxjson",952
248,5000,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R29;r3=R5;c1=int:0;c2=label@979","rxjson",961
249,5000,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R1;r2=R9;r3=R10;r4=R3;c1=int:8;c2=label@153","benchmark_json_parser_noopt",128
250,5000,1,1,3,candidate,"UNLINK_REG(r1) | SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r1)","r1=R38;r2=R1;r3=R35","rxjson",9061
251,5,5,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_STRING(r1,r1,c2) | CONCAT_REG_REG_STRING(r1,r1,c3)","r1=R7;c1=string@3280;c2=string@3432;c3=string@3600","benchmark_json_parser_noopt",65
252,1,1,1,5,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2)","c1=label@39;r1=R5;r2=R6;r3=R0;c2=int:1","benchmark_json_parser_noopt",27
253,1,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@13;r1=R12;c2=int:512;r2=R0;c3=label@16","benchmark_json_parser_noopt",4
254,1,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R10;r2=R3;c1=string@8552","benchmark_json_parser_noopt",169
255,1,1,1,5,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_STRING(r1,r1,c2) | CONCAT_REG_REG_STRING(r2,r1,c3)","r1=R7;c1=string@4224;c2=string@4416;r2=R1;c3=string@4632","benchmark_json_parser_noopt",85
256,1,1,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_STRING(r2,r1,c2) | LOAD_REG_INT(r3,c3)","r1=R7;c1=string@4416;r2=R1;c2=string@4632;r3=R3;c3=int:0","benchmark_json_parser_noopt",89
257,1,1,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r2,c3)","r1=R1;r2=R7;c1=string@4632;r3=R3;c2=int:0;c3=int:1","benchmark_json_parser_noopt",93
258,1,1,1,4,candidate,"CONCAT_REG_STRING_REG(r1,c1,r1) | CONCAT_REG_REG_STRING(r1,r1,c2) | CONCAT_REG_REG_STRING(r1,r1,c3)","r1=R7;c1=string@3112;c2=string@3280;c3=string@3432","benchmark_json_parser_noopt",61
259,1,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3)","r1=R10;c1=string@7984;r2=R2;c2=string@8136;r3=R3","benchmark_json_parser_noopt",159
260,1,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R5;r2=R0;c1=int:0;c2=int:1;c3=label@39","benchmark_json_parser_noopt",19
261,1,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R2;r2=R6;c1=int:1;c2=label@58","benchmark_json_parser_noopt",36
262,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R5;c1=int:1;c2=label@39;r2=R6;r3=R0","benchmark_json_parser_noopt",23
263,1,1,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2)","r1=R3;r2=R10","benchmark_json_parser_noopt",167
264,1,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R2;r2=R10;c1=string@7984;c2=string@8136","benchmark_json_parser_noopt",157
265,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R2;c1=int:1;r2=R5;r3=R0;c2=int:0","benchmark_json_parser_noopt",16
266,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R7;c1=int:1;r2=R6;r3=R2;c2=label@157","benchmark_json_parser_noopt",100
267,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R3;c1=int:0;r2=R7;c2=int:1;r3=R6;r4=R2","benchmark_json_parser_noopt",97
268,1,1,1,4,candidate,"LOAD_REG_STRING(r1,c1) | CONCAT_REG_STRING_REG(r1,c2,r1) | CONCAT_REG_REG_STRING(r1,r1,c3)","r1=R7;c1=string@2976;c2=string@3112;c3=string@3280","benchmark_json_parser_noopt",58
269,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1)","r1=R6;r2=R0;c1=int:1;r3=R2","benchmark_json_parser_noopt",30
270,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | COPY_REG_REG(r2,r1)","c1=int:18;c2=int:1;c3=label@13;r1=R12;c4=int:512;r2=R0","benchmark_json_parser_noopt",0
271,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;c1=string@8552;c2=int:0","benchmark_json_parser_noopt",173
272,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2)","r1=R10;c1=string@8136;r2=R3","benchmark_json_parser_noopt",163
273,1,1,1,3,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R6;r2=R2;c1=int:1","benchmark_json_parser_noopt",34
