workload,vm,entry,domain,status
RexxCPS,rxvm,SLC-C0-current,instructions,complete
RexxCPS,rxvm,SLC-C0-current,procedures,complete
RexxCPS,rxvm,SLC-C0-current,allocations,complete
RexxCPS,rxvm,SLC-C0-current,call_census,complete
RexxCPS,rxvm,SLC-C0-current,frame_entry,complete
RexxCPS,rxvm,SLC-C0-current,value_operations,complete
RexxCPS,rxvm,SLC-C0-current,branch_sites,complete
RexxCPS,rxvm,CF-COMB1,instructions,complete
RexxCPS,rxvm,CF-COMB1,procedures,complete
RexxCPS,rxvm,CF-COMB1,allocations,complete
RexxCPS,rxvm,CF-COMB1,call_census,complete
RexxCPS,rxvm,CF-COMB1,frame_entry,complete
RexxCPS,rxvm,CF-COMB1,value_operations,complete
RexxCPS,rxvm,CF-COMB1,branch_sites,complete
RexxCPS,rxbvm,SLC-C0-current,instructions,complete
RexxCPS,rxbvm,SLC-C0-current,procedures,complete
RexxCPS,rxbvm,SLC-C0-current,allocations,complete
RexxCPS,rxbvm,SLC-C0-current,call_census,complete
RexxCPS,rxbvm,SLC-C0-current,frame_entry,complete
RexxCPS,rxbvm,SLC-C0-current,value_operations,complete
RexxCPS,rxbvm,SLC-C0-current,branch_sites,complete
RexxCPS,rxbvm,CF-COMB1,instructions,complete
RexxCPS,rxbvm,CF-COMB1,procedures,complete
RexxCPS,rxbvm,CF-COMB1,allocations,complete
RexxCPS,rxbvm,CF-COMB1,call_census,complete
RexxCPS,rxbvm,CF-COMB1,frame_entry,complete
RexxCPS,rxbvm,CF-COMB1,value_operations,complete
RexxCPS,rxbvm,CF-COMB1,branch_sites,complete
