workload,vm,entry,rank,procedure,module,kind,calls,total_ns,average_ns
RexxCPS,rxvm,SLC-C0-current,1,rxfnsb.upper,upper,procedure,285600,0,0
RexxCPS,rxvm,SLC-C0-current,2,rexxcps_levelb.cps_subroutine,benchmark_rexxcps_levelb_opt,procedure,71400,0,0
RexxCPS,rxvm,SLC-C0-current,3,_rxsysb._elapsed,/private/tmp/crexx-perf2-04.3k3Dfw/baseline-src/lib/rxfnsb/rxas/_elapsed,procedure,1800,0,0
RexxCPS,rxvm,SLC-C0-current,4,rxfnsb.time,time,procedure,600,0,0
RexxCPS,rxvm,SLC-C0-current,5,rxfnsb.strip,strip,procedure,416,0,0
RexxCPS,rxvm,CF-COMB1,1,rexxcps_levelb.cps_subroutine,/private/tmp/crexx-perf2-04.3k3Dfw/evidence/rexxcps-combined/rexxcps_combined_ceiling,procedure,138600,0,0
RexxCPS,rxvm,CF-COMB1,2,_rxsysb._elapsed,/private/tmp/crexx-perf2-04.3k3Dfw/baseline-src/lib/rxfnsb/rxas/_elapsed,procedure,1800,0,0
RexxCPS,rxvm,CF-COMB1,3,rxfnsb.time,time,procedure,600,0,0
RexxCPS,rxvm,CF-COMB1,4,rxfnsb.strip,strip,procedure,416,0,0
RexxCPS,rxvm,CF-COMB1,5,rxfnsb._trace_ensure_runtime,trace,procedure,400,0,0
RexxCPS,rxbvm,SLC-C0-current,1,rxfnsb.upper,upper,procedure,274400,0,0
RexxCPS,rxbvm,SLC-C0-current,2,rexxcps_levelb.cps_subroutine,benchmark_rexxcps_levelb_opt,procedure,68600,0,0
RexxCPS,rxbvm,SLC-C0-current,3,_rxsysb._elapsed,/private/tmp/crexx-perf2-04.3k3Dfw/baseline-src/lib/rxfnsb/rxas/_elapsed,procedure,1800,0,0
RexxCPS,rxbvm,SLC-C0-current,4,rxfnsb.time,time,procedure,600,0,0
RexxCPS,rxbvm,SLC-C0-current,5,rxfnsb.strip,strip,procedure,416,0,0
RexxCPS,rxbvm,CF-COMB1,1,rexxcps_levelb.cps_subroutine,/private/tmp/crexx-perf2-04.3k3Dfw/evidence/rexxcps-combined/rexxcps_combined_ceiling,procedure,135800,0,0
RexxCPS,rxbvm,CF-COMB1,2,_rxsysb._elapsed,/private/tmp/crexx-perf2-04.3k3Dfw/baseline-src/lib/rxfnsb/rxas/_elapsed,procedure,1800,0,0
RexxCPS,rxbvm,CF-COMB1,3,rxfnsb.time,time,procedure,600,0,0
RexxCPS,rxbvm,CF-COMB1,4,rxfnsb.strip,strip,procedure,416,0,0
RexxCPS,rxbvm,CF-COMB1,5,rxfnsb._trace_ensure_runtime,trace,procedure,400,0,0
