workload,vm,entry,rank,transition,count,total_ns
RexxCPS,rxvm,SLC-C0-current,1,sequential_same_frame,21901175,0
RexxCPS,rxvm,SLC-C0-current,2,branch_same_frame,4200439,0
RexxCPS,rxvm,SLC-C0-current,3,call_enter_frame,362043,0
RexxCPS,rxvm,SLC-C0-current,4,return_leave_frame,362043,0
RexxCPS,rxvm,SLC-C0-current,5,external_entry,1,0
RexxCPS,rxvm,CF-COMB1,1,sequential_same_frame,24169065,0
RexxCPS,rxvm,CF-COMB1,2,branch_same_frame,3390571,0
RexxCPS,rxvm,CF-COMB1,3,call_enter_frame,143646,0
RexxCPS,rxvm,CF-COMB1,4,return_leave_frame,143646,0
RexxCPS,rxvm,CF-COMB1,5,external_entry,1,0
RexxCPS,rxbvm,SLC-C0-current,1,sequential_same_frame,21050200,0
RexxCPS,rxbvm,SLC-C0-current,2,branch_same_frame,4037842,0
RexxCPS,rxbvm,SLC-C0-current,3,call_enter_frame,348043,0
RexxCPS,rxbvm,SLC-C0-current,4,return_leave_frame,348043,0
RexxCPS,rxbvm,SLC-C0-current,5,external_entry,1,0
RexxCPS,rxbvm,CF-COMB1,1,sequential_same_frame,23684865,0
RexxCPS,rxbvm,CF-COMB1,2,branch_same_frame,3323171,0
RexxCPS,rxbvm,CF-COMB1,3,call_enter_frame,140846,0
RexxCPS,rxbvm,CF-COMB1,4,return_leave_frame,140846,0
RexxCPS,rxbvm,CF-COMB1,5,external_entry,1,0
