runtime,vm,phase,n,min_ns,q1_ns,median_ns,q3_ns,max_ns,mad_ns,relative_mad_percent,span_percent,rerun_recommended
crexx,shared,compile,20,145038000.000000,148885000.000000,168967500.000000,191385500.000000,204465000.000000,21059500.000000,12.463639,35.170669,yes
crexx,shared,assemble,20,9461000.000000,10163500.000000,11730000.000000,12851500.000000,17196000.000000,1571500.000000,13.397272,65.942029,yes
crexx,rxvm,load_first_result,20,2345000.000000,2699750.000000,2919000.000000,3284000.000000,9733000.000000,346500.000000,11.870504,253.100377,yes
crexx,rxbvm,load_first_result,20,2030000.000000,2270000.000000,3016000.000000,3358250.000000,4040000.000000,490000.000000,16.246684,66.644562,yes
oorexx,oorexx,translate,20,5572000.000000,6263750.000000,7519500.000000,8265000.000000,10470000.000000,1376500.000000,18.305738,65.137310,yes
oorexx,oorexx,load_first_result,20,5077000.000000,5255000.000000,6619000.000000,7139000.000000,9768000.000000,1238500.000000,18.711286,70.871733,yes
netrexx,netrexx,compile,20,1044363000.000000,1072636250.000000,1393490000.000000,1674195250.000000,1744189000.000000,317206000.000000,22.763421,50.221100,yes
netrexx,netrexx,load_first_result,20,25282000.000000,32252000.000000,37339000.000000,43603750.000000,52834000.000000,5958500.000000,15.957846,73.788800,yes
