-- Install configuration: "Release"
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/messages
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/messages/diagnostics.en_GB.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/messages/diagnostics.nl_NL.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/messages/diagnostics.de_DE.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/messages/diagnostics.en_US.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/crexx_version.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/./VERSION
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/./BUILDINFO
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libcrexxsaa.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/crexxsaa.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexxsaa
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/rxpa/crexxpa.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/platform/rxinteger.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/rxpa/crexx_version.h
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/maclib.rexx
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/macsys.rexx
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/mathlib.rexx
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/syslib.rexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxpp-sh
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libcrexx-ggml-cpu.so
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libcrexx-ggml-metal.so
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-ggml.0.23.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-ggml.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-ggml.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-cpu.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-alloc.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-backend.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-blas.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-cann.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-cpp.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-cuda.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-opt.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-metal.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-rpc.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-virtgpu.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-sycl.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-vulkan.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-webgpu.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-zendnn.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/ggml-openvino.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/gguf.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-ggml-base.0.23.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-ggml-base.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-ggml-base.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/ggml/ggml-config.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/ggml/ggml-config-version.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-llama-engine.0.4.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-llama-engine.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/libcrexx-llama-engine.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/llama.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/include/llama-cpp.h
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/llama/llama-config.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/llama/llama-config-version.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/pkgconfig/llama.pc
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/llama/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/llama/examples
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/llama/examples/shared_embeddings.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/llama/examples/persistent_embeddings.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/rxconsole/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_catalog.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_contract.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/contracts/catalogue.json
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/contracts/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/contracts/conformance.jsonl
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/contracts/ui-contract.ts
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/contracts/ui-contract.schema.json
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/contracts/CATALOGUE.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_dialogs.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_terminal_view.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_local_resources.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_ansi.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_tui.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/TERMINAL.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/EXTENDING.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/rxpp/ui
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/rxpp/ui/ui_launcher.rxpm
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/rxpp/ui/ui_node.rxpm
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/share/crexx/ui/rxpp/ui/ui_command.rxpm
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits/pprint/pprint_example.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector_tui.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector_ansi.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.dSYM
