rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | ICOPY_REG_REG(r5,r4)","r1=R11;r2=R23;r3=R7;c1=int:2;r4=R1;r5=R8","benchmark_awfy_richards_opt",2793
2,106953,2,1,5,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3) | BRF_ID_REG(c2,r2)","r1=R4;r2=R7;c1=int:0;r3=R5;c2=label@2976","benchmark_awfy_richards_opt",2956
3,106953,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R5;r2=R3;c1=int:23;c2=int:6;r3=R4;r4=R56;c3=int:1;r5=R7;c4=int:0","benchmark_awfy_richards_opt",2948
4,106605,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R2;r2=R14;c1=int:2;r3=R1;c2=int:0;c3=label@6773","benchmark_awfy_richards_opt",6617
5,106604,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r3,c2) | IGETUNLINK_REG_REG(r5,r4)","c1=label@6773;r1=R1;r2=R5;r3=R14;r4=R2;c2=int:2;r5=R3","benchmark_awfy_richards_opt",6627
6,106604,1,1,9,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r3,c3) | BRF_ID_REG(c4,r2)","r1=R3;r2=R2;r3=R4;r4=R6;r5=R5;c1=int:19;c2=int:6;c3=int:1;c4=label@6662","benchmark_awfy_richards_opt",6637
7,106604,1,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R1;r2=R2;c1=int:0;c2=label@6773;r3=R5;r4=R14","benchmark_awfy_richards_opt",6621
8,106604,1,1,10,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c2,c3,r1,r4,c4)","r1=R2;r2=R14;c1=int:2;r3=R3;r4=R4;r5=R6;r6=R5;c2=int:19;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",6633
9,106604,1,1,6,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R2;c1=label@6773;r2=R1;r3=R5;r4=R14;c2=int:2","benchmark_awfy_richards_opt",6625
10,92655,10,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c3,r3,c4) | UNLINK_REG(r3)","r1=R9;r2=R13;c1=int:24;r3=R4;c2=int:2;r4=R8;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",2644
11,65790,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3) | COPY_REG_REG(r3,r1)","r1=R55;c1=int:18;c2=int:1;r2=R1;c3=int:0;r3=R3","benchmark_awfy_richards_opt",2936
12,65790,1,1,10,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | BTOI_REG(r4) | IEQ_REG_REG_INT(r6,r4,c4)","r1=R3;r2=R55;r3=R5;c1=int:23;c2=int:6;r4=R4;r5=R56;c3=int:1;r6=R7;c4=int:0","benchmark_awfy_richards_opt",2945
13,65790,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | SETTP_REG_INT(r1,c3)","r1=R14;c1=int:1;r2=R12;r3=R8;c2=int:2;c3=int:256","benchmark_awfy_richards_opt",6747
14,65790,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R12;r2=R14;c1=int:2;c2=int:1;r3=R8","benchmark_awfy_richards_opt",6743
15,65790,1,1,10,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c2,c3,r5,r6,c4) | BTOI_REG(r5)","r1=R1;c1=int:0;r2=R3;r3=R55;r4=R5;c2=int:23;c3=int:6;r5=R4;r6=R56;c4=int:1","benchmark_awfy_richards_opt",2942
16,65790,1,1,11,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c4,c5,r5,r6,c2)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R3;r3=R55;r4=R5;c4=int:23;c5=int:6;r5=R4;r6=R56","benchmark_awfy_richards_opt",2938
17,65790,1,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2) | CALL2_REG_FUNC_REG_REG(r4,c3,r3,r2)","r1=R12;r2=R8;r3=R14;c1=int:2;c2=int:256;r4=R6;c3=func@109568","benchmark_awfy_richards_opt",6751
18,64637,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@3004;r1=R5;r2=R4;c2=int:0;r3=R7;c3=label@3038","benchmark_awfy_richards_opt",2993
19,59825,3,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R25;r2=R45;r3=R43;c1=int:0;c2=label@3817","benchmark_awfy_richards_opt",3766
20,59825,3,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r5,c4)","r1=R43;r2=R34;c1=int:5;c2=int:6;r3=R45;r4=R56;c3=int:1;r5=R25;c4=int:0","benchmark_awfy_richards_opt",3758
21,53683,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R11;c2=int:0;r5=R0","benchmark_awfy_richards_opt",2075
