workload,round,order,variant,elapsed_s
Richards,1,1,frozen-stage0,0.062820911
Richards,1,2,stage3-final,0.051295042
Richards,2,1,stage3-final,0.049525023
Richards,2,2,frozen-stage0,0.068954945
Richards,3,1,frozen-stage0,0.063686132
Richards,3,2,stage3-final,0.050436020
Richards,4,1,stage3-final,0.051133871
Richards,4,2,frozen-stage0,0.050987005
Richards,5,1,frozen-stage0,0.055799961
Richards,5,2,stage3-final,0.054423094
Richards,6,1,stage3-final,0.059942007
Richards,6,2,frozen-stage0,0.062488079
Richards,7,1,frozen-stage0,0.063290834
Richards,7,2,stage3-final,0.050343990
Richards,8,1,stage3-final,0.058128119
Richards,8,2,frozen-stage0,0.055303097
Richards,9,1,frozen-stage0,0.055238962
Richards,9,2,stage3-final,0.054249048
Richards,10,1,stage3-final,0.059741974
Richards,10,2,frozen-stage0,0.051427841
Richards,11,1,frozen-stage0,0.059947968
Richards,11,2,stage3-final,0.058753014
Richards,12,1,stage3-final,0.061722040
Richards,12,2,frozen-stage0,0.065186024
Richards,13,1,frozen-stage0,0.050690174
Richards,13,2,stage3-final,0.064314127
Richards,14,1,stage3-final,0.060139894
Richards,14,2,frozen-stage0,0.057754993
Richards,15,1,frozen-stage0,0.053059101
Richards,15,2,stage3-final,0.055672169
Richards,16,1,stage3-final,0.055192947
Richards,16,2,frozen-stage0,0.064965010
Richards,17,1,frozen-stage0,0.068697929
Richards,17,2,stage3-final,0.065407991
Richards,18,1,stage3-final,0.056608200
Richards,18,2,frozen-stage0,0.076555014
Richards,19,1,frozen-stage0,0.059717178
Richards,19,2,stage3-final,0.054968119
Richards,20,1,stage3-final,0.054673910
Richards,20,2,frozen-stage0,0.063512802
Richards,21,1,frozen-stage0,0.067004919
Richards,21,2,stage3-final,0.057754040
Richards,22,1,stage3-final,0.051133156
Richards,22,2,frozen-stage0,0.059898138
Richards,23,1,frozen-stage0,0.055845022
Richards,23,2,stage3-final,0.067106962
Richards,24,1,stage3-final,0.055680037
Richards,24,2,frozen-stage0,0.050894976
Richards,25,1,frozen-stage0,0.051209927
Richards,25,2,stage3-final,0.049955845
Richards,26,1,stage3-final,0.052927017
Richards,26,2,frozen-stage0,0.068241119
Richards,27,1,frozen-stage0,0.063575029
Richards,27,2,stage3-final,0.059490919
Richards,28,1,stage3-final,0.060374022
Richards,28,2,frozen-stage0,0.050460100
Richards,29,1,frozen-stage0,0.059680223
Richards,29,2,stage3-final,0.059514046
Richards,30,1,stage3-final,0.050796032
Richards,30,2,frozen-stage0,0.062992096
Towers,1,1,frozen-stage0,0.019192934
Towers,1,2,stage3-final,0.018449068
Towers,2,1,stage3-final,0.019123077
Towers,2,2,frozen-stage0,0.019524813
Towers,3,1,frozen-stage0,0.019160032
Towers,3,2,stage3-final,0.018571854
Towers,4,1,stage3-final,0.018452883
Towers,4,2,frozen-stage0,0.019431829
Towers,5,1,frozen-stage0,0.018623829
Towers,5,2,stage3-final,0.019032001
Towers,6,1,stage3-final,0.022430897
Towers,6,2,frozen-stage0,0.019593000
Towers,7,1,frozen-stage0,0.022569895
Towers,7,2,stage3-final,0.018445969
Towers,8,1,stage3-final,0.023235798
Towers,8,2,frozen-stage0,0.018389940
Towers,9,1,frozen-stage0,0.018792868
Towers,9,2,stage3-final,0.019149065
Towers,10,1,stage3-final,0.023736954
Towers,10,2,frozen-stage0,0.019298792
Towers,11,1,frozen-stage0,0.019025803
Towers,11,2,stage3-final,0.018594980
Towers,12,1,stage3-final,0.023169994
Towers,12,2,frozen-stage0,0.019190073
Towers,13,1,frozen-stage0,0.023254156
Towers,13,2,stage3-final,0.019136906
Towers,14,1,stage3-final,0.019057989
Towers,14,2,frozen-stage0,0.019130945
Towers,15,1,frozen-stage0,0.019783974
Towers,15,2,stage3-final,0.019062042
Towers,16,1,stage3-final,0.019140005
Towers,16,2,frozen-stage0,0.019104004
Towers,17,1,frozen-stage0,0.023440123
Towers,17,2,stage3-final,0.019618034
Towers,18,1,stage3-final,0.019428968
Towers,18,2,frozen-stage0,0.024708986
Towers,19,1,frozen-stage0,0.019341946
Towers,19,2,stage3-final,0.018491983
Towers,20,1,stage3-final,0.019673109
Towers,20,2,frozen-stage0,0.018895864
Towers,21,1,frozen-stage0,0.018383980
Towers,21,2,stage3-final,0.019016027
Towers,22,1,stage3-final,0.018970966
Towers,22,2,frozen-stage0,0.019727945
Towers,23,1,frozen-stage0,0.018302917
Towers,23,2,stage3-final,0.019031048
Towers,24,1,stage3-final,0.019470930
Towers,24,2,frozen-stage0,0.023239851
Towers,25,1,frozen-stage0,0.018464088
Towers,25,2,stage3-final,0.018539906
Towers,26,1,stage3-final,0.018445015
Towers,26,2,frozen-stage0,0.023307085
Towers,27,1,frozen-stage0,0.019309044
Towers,27,2,stage3-final,0.018505096
Towers,28,1,stage3-final,0.018520117
Towers,28,2,frozen-stage0,0.022760153
Towers,29,1,frozen-stage0,0.018487930
Towers,29,2,stage3-final,0.018469810
Towers,30,1,stage3-final,0.019009829
Towers,30,2,frozen-stage0,0.022791147
RexxCPS,1,1,frozen-stage0,0.057890177
RexxCPS,1,2,stage3-final,0.055346966
RexxCPS,2,1,stage3-final,0.064764023
RexxCPS,2,2,frozen-stage0,0.051351786
RexxCPS,3,1,frozen-stage0,0.057533979
RexxCPS,3,2,stage3-final,0.054805040
RexxCPS,4,1,stage3-final,0.054815054
RexxCPS,4,2,frozen-stage0,0.058910847
RexxCPS,5,1,frozen-stage0,0.057255983
RexxCPS,5,2,stage3-final,0.055127859
RexxCPS,6,1,stage3-final,0.049863100
RexxCPS,6,2,frozen-stage0,0.048868895
RexxCPS,7,1,frozen-stage0,0.055410147
RexxCPS,7,2,stage3-final,0.056653023
RexxCPS,8,1,stage3-final,0.062462807
RexxCPS,8,2,frozen-stage0,0.055357933
RexxCPS,9,1,frozen-stage0,0.049854994
RexxCPS,9,2,stage3-final,0.054900169
RexxCPS,10,1,stage3-final,0.052102804
RexxCPS,10,2,frozen-stage0,0.058202982
RexxCPS,11,1,frozen-stage0,0.050863028
RexxCPS,11,2,stage3-final,0.048624992
RexxCPS,12,1,stage3-final,0.060091019
RexxCPS,12,2,frozen-stage0,0.051997900
RexxCPS,13,1,frozen-stage0,0.049110174
RexxCPS,13,2,stage3-final,0.060496092
RexxCPS,14,1,stage3-final,0.051154137
RexxCPS,14,2,frozen-stage0,0.064945936
RexxCPS,15,1,frozen-stage0,0.047803879
RexxCPS,15,2,stage3-final,0.057981968
RexxCPS,16,1,stage3-final,0.057088137
RexxCPS,16,2,frozen-stage0,0.054297209
RexxCPS,17,1,frozen-stage0,0.046865940
RexxCPS,17,2,stage3-final,0.054620028
RexxCPS,18,1,stage3-final,0.055410862
RexxCPS,18,2,frozen-stage0,0.059563875
RexxCPS,19,1,frozen-stage0,0.051141977
RexxCPS,19,2,stage3-final,0.054426908
RexxCPS,20,1,stage3-final,0.059051991
RexxCPS,20,2,frozen-stage0,0.058004856
RexxCPS,21,1,frozen-stage0,0.058553934
RexxCPS,21,2,stage3-final,0.046777964
RexxCPS,22,1,stage3-final,0.051587105
RexxCPS,22,2,frozen-stage0,0.058418036
RexxCPS,23,1,frozen-stage0,0.062586069
RexxCPS,23,2,stage3-final,0.060571909
RexxCPS,24,1,stage3-final,0.049015999
RexxCPS,24,2,frozen-stage0,0.058704853
RexxCPS,25,1,frozen-stage0,0.049576998
RexxCPS,25,2,stage3-final,0.058304071
RexxCPS,26,1,stage3-final,0.046890974
RexxCPS,26,2,frozen-stage0,0.046937943
RexxCPS,27,1,frozen-stage0,0.055314064
RexxCPS,27,2,stage3-final,0.050336838
RexxCPS,28,1,stage3-final,0.047733784
RexxCPS,28,2,frozen-stage0,0.057307005
RexxCPS,29,1,frozen-stage0,0.054327011
RexxCPS,29,2,stage3-final,0.046297073
RexxCPS,30,1,stage3-final,0.060938835
RexxCPS,30,2,frozen-stage0,0.052300930
