workload,round,order,variant,rss_bytes
Richards,1,1,frozen-stage0,8617984
Richards,1,2,stage3,9814016
Richards,2,1,stage3,9764864
Richards,2,2,frozen-stage0,8585216
Richards,3,1,frozen-stage0,8568832
Richards,3,2,stage3,9699328
Richards,4,1,stage3,9699328
Richards,4,2,frozen-stage0,8454144
Richards,5,1,frozen-stage0,8617984
Richards,5,2,stage3,9650176
Richards,6,1,stage3,9764864
Richards,6,2,frozen-stage0,8552448
Richards,7,1,frozen-stage0,8634368
Richards,7,2,stage3,9863168
Richards,8,1,stage3,9764864
Richards,8,2,frozen-stage0,8421376
Richards,9,1,frozen-stage0,8699904
Richards,9,2,stage3,9666560
Richards,10,1,stage3,9715712
Richards,10,2,frozen-stage0,8585216
Towers,1,1,frozen-stage0,4571136
Towers,1,2,stage3,5324800
Towers,2,1,stage3,5308416
Towers,2,2,frozen-stage0,4702208
Towers,3,1,frozen-stage0,4636672
Towers,3,2,stage3,5423104
Towers,4,1,stage3,5423104
Towers,4,2,frozen-stage0,4702208
Towers,5,1,frozen-stage0,4603904
Towers,5,2,stage3,5242880
Towers,6,1,stage3,5259264
Towers,6,2,frozen-stage0,4702208
Towers,7,1,frozen-stage0,4603904
Towers,7,2,stage3,5259264
Towers,8,1,stage3,5308416
Towers,8,2,frozen-stage0,4784128
Towers,9,1,frozen-stage0,4718592
Towers,9,2,stage3,5373952
Towers,10,1,stage3,5292032
Towers,10,2,frozen-stage0,4718592
RexxCPS,1,1,frozen-stage0,9748480
RexxCPS,1,2,stage3,10469376
RexxCPS,2,1,stage3,10518528
RexxCPS,2,2,frozen-stage0,9748480
RexxCPS,3,1,frozen-stage0,9797632
RexxCPS,3,2,stage3,10436608
RexxCPS,4,1,stage3,10387456
RexxCPS,4,2,frozen-stage0,9748480
RexxCPS,5,1,frozen-stage0,9748480
RexxCPS,5,2,stage3,10371072
RexxCPS,6,1,stage3,10436608
RexxCPS,6,2,frozen-stage0,9748480
RexxCPS,7,1,frozen-stage0,9732096
RexxCPS,7,2,stage3,10502144
RexxCPS,8,1,stage3,10420224
RexxCPS,8,2,frozen-stage0,9764864
RexxCPS,9,1,frozen-stage0,9764864
RexxCPS,9,2,stage3,10452992
RexxCPS,10,1,stage3,10485760
RexxCPS,10,2,frozen-stage0,9748480
