session,workload,variant,elapsed_median_s,elapsed_mean_s,elapsed_min_s,elapsed_max_s,elapsed_samples,rss_median_bytes,rss_min_bytes,rss_max_bytes,rss_samples
initial-eager,Richards,frozen-stage0,0.060029507,0.059127911,0.050162077,0.071825027,30,8585216,8421376,8699904,10
initial-eager,Richards,stage3-eager,0.058049917,0.058469939,0.051584959,0.070822001,30,9740288,9650176,9863168,10
initial-eager,Towers,frozen-stage0,0.019548535,0.019767761,0.018371820,0.024731874,30,4702208,4571136,4784128,10
initial-eager,Towers,stage3-eager,0.019391060,0.020062216,0.018486977,0.024955034,30,5308416,5242880,5423104,10
initial-eager,RexxCPS,frozen-stage0,0.055939555,0.054819361,0.047417164,0.063698053,30,9748480,9732096,9797632,10
initial-eager,RexxCPS,stage3-eager,0.052914977,0.053236055,0.047142029,0.060706854,30,10444800,10371072,10518528,10
final-demand-driven,Richards,frozen-stage0,0.059923053,0.059996184,0.050460100,0.076555014,30,8568832,8404992,8683520,10
final-demand-driven,Richards,stage3-final,0.055676103,0.056380089,0.049525023,0.067106962,30,9068544,8978432,9175040,10
final-demand-driven,Towers,frozen-stage0,0.019303918,0.020174265,0.018302917,0.024708986,30,4636672,4554752,4751360,10
final-demand-driven,Towers,stage3-final,0.019031525,0.019466011,0.018445015,0.023736954,30,4980736,4931584,5046272,10
final-demand-driven,RexxCPS,frozen-stage0,0.055335998,0.054641978,0.046865940,0.064945936,30,9764864,9732096,9814016,10
final-demand-driven,RexxCPS,stage3-final,0.054857612,0.054608051,0.046297073,0.064764023,30,10018816,9928704,10076160,10
