workload,round,order,variant,rss_bytes
Richards,1,1,frozen-stage0,8585216
Richards,1,2,stage3-final,9093120
Richards,2,1,stage3-final,9175040
Richards,2,2,frozen-stage0,8568832
Richards,3,1,frozen-stage0,8683520
Richards,3,2,stage3-final,9043968
Richards,4,1,stage3-final,9175040
Richards,4,2,frozen-stage0,8454144
Richards,5,1,frozen-stage0,8568832
Richards,5,2,stage3-final,9158656
Richards,6,1,stage3-final,9027584
Richards,6,2,frozen-stage0,8568832
Richards,7,1,frozen-stage0,8437760
Richards,7,2,stage3-final,9175040
Richards,8,1,stage3-final,8978432
Richards,8,2,frozen-stage0,8404992
Richards,9,1,frozen-stage0,8536064
Richards,9,2,stage3-final,8994816
Richards,10,1,stage3-final,8978432
Richards,10,2,frozen-stage0,8650752
Towers,1,1,frozen-stage0,4718592
Towers,1,2,stage3-final,4980736
Towers,2,1,stage3-final,4980736
Towers,2,2,frozen-stage0,4571136
Towers,3,1,frozen-stage0,4751360
Towers,3,2,stage3-final,5013504
Towers,4,1,stage3-final,4931584
Towers,4,2,frozen-stage0,4587520
Towers,5,1,frozen-stage0,4685824
Towers,5,2,stage3-final,4931584
Towers,6,1,stage3-final,4964352
Towers,6,2,frozen-stage0,4751360
Towers,7,1,frozen-stage0,4571136
Towers,7,2,stage3-final,4964352
Towers,8,1,stage3-final,5029888
Towers,8,2,frozen-stage0,4554752
Towers,9,1,frozen-stage0,4734976
Towers,9,2,stage3-final,5046272
Towers,10,1,stage3-final,5029888
Towers,10,2,frozen-stage0,4587520
RexxCPS,1,1,frozen-stage0,9781248
RexxCPS,1,2,stage3-final,9928704
RexxCPS,2,1,stage3-final,10043392
RexxCPS,2,2,frozen-stage0,9732096
RexxCPS,3,1,frozen-stage0,9748480
RexxCPS,3,2,stage3-final,10076160
RexxCPS,4,1,stage3-final,9994240
RexxCPS,4,2,frozen-stage0,9748480
RexxCPS,5,1,frozen-stage0,9732096
RexxCPS,5,2,stage3-final,9994240
RexxCPS,6,1,stage3-final,9977856
RexxCPS,6,2,frozen-stage0,9814016
RexxCPS,7,1,frozen-stage0,9748480
RexxCPS,7,2,stage3-final,10059776
RexxCPS,8,1,stage3-final,10059776
RexxCPS,8,2,frozen-stage0,9781248
RexxCPS,9,1,frozen-stage0,9797632
RexxCPS,9,2,stage3-final,9961472
RexxCPS,10,1,stage3-final,10076160
RexxCPS,10,2,frozen-stage0,9797632
