workload,round,order,variant,elapsed_s
Richards,1,1,frozen-stage0,0.056246042
Richards,1,2,stage3,0.052298069
Richards,2,1,stage3,0.063730001
Richards,2,2,frozen-stage0,0.067328930
Richards,3,1,frozen-stage0,0.065099955
Richards,3,2,stage3,0.051615953
Richards,4,1,stage3,0.051825047
Richards,4,2,frozen-stage0,0.063288927
Richards,5,1,frozen-stage0,0.068212032
Richards,5,2,stage3,0.059707880
Richards,6,1,stage3,0.051651001
Richards,6,2,frozen-stage0,0.055281162
Richards,7,1,frozen-stage0,0.062653065
Richards,7,2,stage3,0.067693949
Richards,8,1,stage3,0.054682970
Richards,8,2,frozen-stage0,0.053328037
Richards,9,1,frozen-stage0,0.050369024
Richards,9,2,stage3,0.060772896
Richards,10,1,stage3,0.056259871
Richards,10,2,frozen-stage0,0.068664074
Richards,11,1,frozen-stage0,0.062951088
Richards,11,2,stage3,0.064827204
Richards,12,1,stage3,0.051584959
Richards,12,2,frozen-stage0,0.064898968
Richards,13,1,frozen-stage0,0.055663109
Richards,13,2,stage3,0.062814951
Richards,14,1,stage3,0.064611912
Richards,14,2,frozen-stage0,0.051244020
Richards,15,1,frozen-stage0,0.050162077
Richards,15,2,stage3,0.054308891
Richards,16,1,stage3,0.059097052
Richards,16,2,frozen-stage0,0.071825027
Richards,17,1,frozen-stage0,0.061697960
Richards,17,2,stage3,0.051890850
Richards,18,1,stage3,0.068048954
Richards,18,2,frozen-stage0,0.060237885
Richards,19,1,frozen-stage0,0.068871021
Richards,19,2,stage3,0.070822001
Richards,20,1,stage3,0.057002783
Richards,20,2,frozen-stage0,0.052303076
Richards,21,1,frozen-stage0,0.052842855
Richards,21,2,stage3,0.060782909
Richards,22,1,stage3,0.052306175
Richards,22,2,frozen-stage0,0.051120043
Richards,23,1,frozen-stage0,0.059876919
Richards,23,2,stage3,0.059731007
Richards,24,1,stage3,0.054826021
Richards,24,2,frozen-stage0,0.063546896
Richards,25,1,frozen-stage0,0.050314903
Richards,25,2,stage3,0.060503960
Richards,26,1,stage3,0.052469015
Richards,26,2,frozen-stage0,0.060182095
Richards,27,1,frozen-stage0,0.064084053
Richards,27,2,stage3,0.056154013
Richards,28,1,stage3,0.063818932
Richards,28,2,frozen-stage0,0.055090189
Richards,29,1,frozen-stage0,0.055607080
Richards,29,2,stage3,0.055706978
Richards,30,1,stage3,0.062551975
Richards,30,2,frozen-stage0,0.050846815
Towers,1,1,frozen-stage0,0.023668051
Towers,1,2,stage3,0.020798922
Towers,2,1,stage3,0.019505024
Towers,2,2,frozen-stage0,0.019760132
Towers,3,1,frozen-stage0,0.019597054
Towers,3,2,stage3,0.019956827
Towers,4,1,stage3,0.019921064
Towers,4,2,frozen-stage0,0.019665956
Towers,5,1,frozen-stage0,0.019603968
Towers,5,2,stage3,0.019048929
Towers,6,1,stage3,0.019219875
Towers,6,2,frozen-stage0,0.019831896
Towers,7,1,frozen-stage0,0.019201994
Towers,7,2,stage3,0.019338131
Towers,8,1,stage3,0.019908905
Towers,8,2,frozen-stage0,0.018661976
Towers,9,1,frozen-stage0,0.020519018
Towers,9,2,stage3,0.020202875
Towers,10,1,stage3,0.019129038
Towers,10,2,frozen-stage0,0.019268036
Towers,11,1,frozen-stage0,0.019090891
Towers,11,2,stage3,0.019391060
Towers,12,1,stage3,0.019621849
Towers,12,2,frozen-stage0,0.019706011
Towers,13,1,frozen-stage0,0.019054890
Towers,13,2,stage3,0.018559933
Towers,14,1,stage3,0.019277811
Towers,14,2,frozen-stage0,0.019207001
Towers,15,1,frozen-stage0,0.019703865
Towers,15,2,stage3,0.018704891
Towers,16,1,stage3,0.019217968
Towers,16,2,frozen-stage0,0.019759178
Towers,17,1,frozen-stage0,0.018673897
Towers,17,2,stage3,0.018486977
Towers,18,1,stage3,0.019391060
Towers,18,2,frozen-stage0,0.019527912
Towers,19,1,frozen-stage0,0.019047976
Towers,19,2,stage3,0.018644094
Towers,20,1,stage3,0.024089098
Towers,20,2,frozen-stage0,0.018530130
Towers,21,1,frozen-stage0,0.019618034
Towers,21,2,stage3,0.020435095
Towers,22,1,stage3,0.018799067
Towers,22,2,frozen-stage0,0.019829988
Towers,23,1,frozen-stage0,0.024731874
Towers,23,2,stage3,0.019222021
Towers,24,1,stage3,0.023989916
Towers,24,2,frozen-stage0,0.019451857
Towers,25,1,frozen-stage0,0.023056030
Towers,25,2,stage3,0.019942999
Towers,26,1,stage3,0.024955034
Towers,26,2,frozen-stage0,0.018371820
Towers,27,1,frozen-stage0,0.019569159
Towers,27,2,stage3,0.019001007
Towers,28,1,stage3,0.019869089
Towers,28,2,frozen-stage0,0.018411160
Towers,29,1,frozen-stage0,0.018753052
Towers,29,2,stage3,0.024001837
Towers,30,1,stage3,0.019236088
Towers,30,2,frozen-stage0,0.019160032
RexxCPS,1,1,frozen-stage0,0.050200939
RexxCPS,1,2,stage3,0.048943043
RexxCPS,2,1,stage3,0.047621012
RexxCPS,2,2,frozen-stage0,0.057229996
RexxCPS,3,1,frozen-stage0,0.056333065
RexxCPS,3,2,stage3,0.060647011
RexxCPS,4,1,stage3,0.057259083
RexxCPS,4,2,frozen-stage0,0.055258989
RexxCPS,5,1,frozen-stage0,0.050499916
RexxCPS,5,2,stage3,0.051713943
RexxCPS,6,1,stage3,0.059642076
RexxCPS,6,2,frozen-stage0,0.054873943
RexxCPS,7,1,frozen-stage0,0.047480106
RexxCPS,7,2,stage3,0.050966978
RexxCPS,8,1,stage3,0.056267977
RexxCPS,8,2,frozen-stage0,0.058773994
RexxCPS,9,1,frozen-stage0,0.051199913
RexxCPS,9,2,stage3,0.060706854
RexxCPS,10,1,stage3,0.052424192
RexxCPS,10,2,frozen-stage0,0.056578159
RexxCPS,11,1,frozen-stage0,0.056513071
RexxCPS,11,2,stage3,0.056197166
RexxCPS,12,1,stage3,0.049107790
RexxCPS,12,2,frozen-stage0,0.063698053
RexxCPS,13,1,frozen-stage0,0.057089806
RexxCPS,13,2,stage3,0.052964926
RexxCPS,14,1,stage3,0.047794819
RexxCPS,14,2,frozen-stage0,0.057117939
RexxCPS,15,1,frozen-stage0,0.050558805
RexxCPS,15,2,stage3,0.053899050
RexxCPS,16,1,stage3,0.055140018
RexxCPS,16,2,frozen-stage0,0.059453964
RexxCPS,17,1,frozen-stage0,0.058077097
RexxCPS,17,2,stage3,0.052865028
RexxCPS,18,1,stage3,0.058472872
RexxCPS,18,2,frozen-stage0,0.052284956
RexxCPS,19,1,frozen-stage0,0.057060957
RexxCPS,19,2,stage3,0.050152063
