phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,10,43,rxbvml,channel-throughput,candidate,3160.142700193805,81009
recorded,10,44,rxbvml,channel-latency,accepted,96294.903140868904,10634
recorded,10,44,rxbvml,channel-throughput,accepted,3157.102864824201,81087
recorded,11,45,rxbvml,channel-latency,accepted,102564.102564102563,9984
recorded,11,45,rxbvml,channel-throughput,accepted,2901.638972638451,88226
recorded,11,46,rxbvml,channel-latency,candidate,135360.211500330479,7565
recorded,11,46,rxbvml,channel-throughput,candidate,3160.884059760464,80990
recorded,11,47,rxtvml,channel-latency,accepted,97006.441834028039,10556
recorded,11,47,rxtvml,channel-throughput,accepted,2674.718684372747,95711
recorded,11,48,rxtvml,channel-latency,candidate,136806.947227788914,7485
recorded,11,48,rxtvml,channel-throughput,candidate,2726.769204550296,93884
recorded,12,49,rxtvml,channel-latency,candidate,140293.190848061378,7299
recorded,12,49,rxtvml,channel-throughput,candidate,2726.856339408400,93881
recorded,12,50,rxtvml,channel-latency,accepted,101597.380692529026,10079
recorded,12,50,rxtvml,channel-throughput,accepted,2681.414446120329,95472
recorded,12,51,rxbvml,channel-latency,candidate,136043.576458084222,7527
recorded,12,51,rxbvml,channel-throughput,candidate,3142.801021410332,81456
recorded,12,52,rxbvml,channel-latency,accepted,107348.778697976726,9539
recorded,12,52,rxbvml,channel-throughput,accepted,3180.795944485171,80483
