sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
1,rxvm,warmup,0,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1211353,8.55,100,1,2026-07-19T16:08:38Z,2026-07-19T16:08:47Z,raw/001-rxvm-warmup-r00-p1-cellA.stdout.txt,raw/001-rxvm-warmup-r00-p1-cellA.stderr.txt
2,rxvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1199700,8.62,100,1,2026-07-19T16:08:47Z,2026-07-19T16:08:55Z,raw/002-rxvm-warmup-r00-p2-cellB.stdout.txt,raw/002-rxvm-warmup-r00-p2-cellB.stderr.txt
3,rxvm,warmup,0,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/library.rxbin,1216585,8.23,100,1,2026-07-19T16:08:55Z,2026-07-19T16:09:03Z,raw/003-rxvm-warmup-r00-p3-cellC.stdout.txt,raw/003-rxvm-warmup-r00-p3-cellC.stderr.txt
4,rxbvm,warmup,0,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/library.rxbin,1220353,8.69,100,1,2026-07-19T16:09:03Z,2026-07-19T16:09:12Z,raw/004-rxbvm-warmup-r00-p1-cellC.stdout.txt,raw/004-rxbvm-warmup-r00-p1-cellC.stderr.txt
5,rxbvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1200227,8.35,100,1,2026-07-19T16:09:12Z,2026-07-19T16:09:20Z,raw/005-rxbvm-warmup-r00-p2-cellB.stdout.txt,raw/005-rxbvm-warmup-r00-p2-cellB.stderr.txt
6,rxbvm,warmup,0,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1195212,8.68,100,1,2026-07-19T16:09:20Z,2026-07-19T16:09:29Z,raw/006-rxbvm-warmup-r00-p3-cellA.stdout.txt,raw/006-rxbvm-warmup-r00-p3-cellA.stderr.txt
7,rxvm,recorded,1,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1210968,8.27,100,1,2026-07-19T16:09:29Z,2026-07-19T16:09:37Z,raw/007-rxvm-recorded-r01-p1-cellA.stdout.txt,raw/007-rxvm-recorded-r01-p1-cellA.stderr.txt
8,rxvm,recorded,1,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1211593,8.27,100,1,2026-07-19T16:09:37Z,2026-07-19T16:09:46Z,raw/008-rxvm-recorded-r01-p2-cellB.stdout.txt,raw/008-rxvm-recorded-r01-p2-cellB.stderr.txt
9,rxvm,recorded,1,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/corrected-rebaseline/artifacts/candidate/library.rxbin,1224703,8.18,100,1,2026-07-19T16:09:46Z,2026-07-19T16:09:54Z,raw/009-rxvm-recorded-r01-p3-cellC.stdout.txt,raw/009-rxvm-recorded-r01-p3-cellC.stderr.txt
10,rxbvm,recorded,1,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1191370,8.41,100,1,2026-07-19T16:09:54Z,2026-07-19T16:10:02Z,raw/010-rxbvm-recorded-r01-p1-cellA.stdout.txt,raw/010-rxbvm-recorded-r01-p1-cellA.stderr.txt
