vm_mode,comparison,n,native_cps_delta_median_percent,native_cps_delta_mean_percent,native_cps_delta_ci95_low_percent,native_cps_delta_ci95_high_percent,native_cps_delta_q1_percent,native_cps_delta_q3_percent,native_cps_favorable_count,native_cps_delta_min_percent,native_cps_delta_max_percent,process_real_delta_median_percent,process_real_delta_mean_percent,process_real_delta_ci95_low_percent,process_real_delta_ci95_high_percent,process_real_delta_q1_percent,process_real_delta_q3_percent,process_real_favorable_count,process_real_delta_min_percent,process_real_delta_max_percent
rxvm,infrastructure_B_vs_A,12,+0.103630,-0.140637,-1.116878,+0.835604,-0.822180,+0.566618,7,-2.747979,+2.457056,-0.059524,+0.186784,-0.789846,+1.163413,-0.630040,+0.872559,6,-2.369668,+2.808303
rxvm,corrected_product_C_vs_B,12,+0.854625,+0.929082,+0.003651,+1.854513,+0.475359,+1.168966,9,-1.574460,+3.720013,-0.832841,-0.898944,-1.792625,-0.005263,-1.147130,-0.521355,9,-3.550296,+1.581509
rxvm,overall_C_vs_A,12,+1.072188,+0.782089,-0.389908,+1.954086,-0.579206,+2.078345,7,-1.930931,+3.479525,-1.020326,-0.718695,-1.865861,+0.428472,-2.014921,+0.632422,7,-3.329370,+1.953602
rxbvm,infrastructure_B_vs_A,12,+1.970842,+1.358045,+0.134296,+2.581794,+0.424537,+2.127956,9,-1.526702,+5.370474,-1.892372,-1.311106,-2.488298,-0.133914,-2.128938,-0.480332,9,-5.090498,+1.555024
rxbvm,corrected_product_C_vs_B,12,+0.107345,+0.238041,-0.911545,+1.387626,-1.306162,+1.367958,6,-2.268093,+3.955542,-0.116340,-0.206804,-1.331415,+0.917806,-1.353170,+1.326503,6,-3.769140,+2.383790
rxbvm,overall_C_vs_A,12,+1.528674,+1.579991,+0.519564,+2.640417,+0.437583,+2.521482,10,-0.972209,+4.599451,-1.541839,-1.533614,-2.543959,-0.523269,-2.480063,-0.444109,10,-4.332953,+0.961538
