vm_mode,cell,position,n,native_cps_mean,process_real_mean_s
rxvm,A,1,4,1201054.500,8.338
rxvm,A,2,4,1202594.000,8.330
rxvm,A,3,4,1194614.250,8.383
rxvm,B,1,4,1199868.500,8.350
rxvm,B,2,4,1194554.250,8.387
rxvm,B,3,4,1198525.000,8.357
rxvm,C,1,4,1209606.250,8.283
rxvm,C,2,4,1214246.500,8.253
rxvm,C,3,4,1202191.250,8.332
rxbvm,A,1,4,1177187.500,8.512
rxbvm,A,2,4,1191270.500,8.410
rxbvm,A,3,4,1177106.000,8.510
rxbvm,B,1,4,1193157.250,8.395
rxbvm,B,2,4,1199346.250,8.353
rxbvm,B,3,4,1200258.250,8.345
rxbvm,C,1,4,1208140.750,8.293
rxbvm,C,2,4,1201545.000,8.335
rxbvm,C,3,4,1191168.000,8.410
