vm_mode,round,comparison,left_cell,right_cell,left_position,right_position,left_native_cps,right_native_cps,native_cps_delta_percent,left_process_real_s,right_process_real_s,process_real_delta_percent
rxvm,1,infrastructure_B_vs_A,A,B,1,2,1210968,1211593,+0.051612,8.27,8.27,+0.000000
rxvm,1,corrected_product_C_vs_B,B,C,2,3,1211593,1224703,+1.082047,8.27,8.18,-1.088271
rxvm,1,overall_C_vs_A,A,C,1,3,1210968,1224703,+1.134217,8.27,8.18,-1.088271
rxvm,2,infrastructure_B_vs_A,A,B,3,1,1190996,1194235,+0.271957,8.41,8.39,-0.237812
rxvm,2,corrected_product_C_vs_B,B,C,1,2,1194235,1232437,+3.198868,8.39,8.13,-3.098927
rxvm,2,overall_C_vs_A,A,C,3,2,1190996,1232437,+3.479525,8.41,8.13,-3.329370
rxvm,3,infrastructure_B_vs_A,A,B,2,3,1200463,1204848,+0.365276,8.35,8.31,-0.479042
rxvm,3,corrected_product_C_vs_B,B,C,3,1,1204848,1222074,+1.429724,8.31,8.20,-1.323706
rxvm,3,overall_C_vs_A,A,C,2,1,1200463,1222074,+1.800222,8.35,8.20,-1.796407
rxvm,4,infrastructure_B_vs_A,A,B,3,2,1187568,1206796,+1.619107,8.43,8.30,-1.542112
rxvm,4,corrected_product_C_vs_B,B,C,2,1,1206796,1217127,+0.856068,8.30,8.23,-0.843373
rxvm,4,overall_C_vs_A,A,C,3,1,1187568,1217127,+2.489036,8.43,8.23,-2.372479
rxvm,5,infrastructure_B_vs_A,A,B,1,3,1204979,1219085,+1.170643,8.31,8.22,-1.083032
rxvm,5,corrected_product_C_vs_B,B,C,3,2,1219085,1199891,-1.574460,8.22,8.35,+1.581509
rxvm,5,overall_C_vs_A,A,C,1,2,1204979,1199891,-0.422248,8.31,8.35,+0.481348
rxvm,6,infrastructure_B_vs_A,A,B,2,1,1186949,1216113,+2.457056,8.44,8.24,-2.369668
rxvm,6,corrected_product_C_vs_B,B,C,1,3,1216113,1209993,-0.503243,8.24,8.28,+0.485437
rxvm,6,overall_C_vs_A,A,C,2,3,1186949,1209993,+1.941448,8.44,8.28,-1.895735
rxvm,7,infrastructure_B_vs_A,A,B,2,1,1222571,1188975,-2.747979,8.19,8.42,+2.808303
rxvm,7,corrected_product_C_vs_B,B,C,1,3,1188975,1198964,+0.840135,8.42,8.35,-0.831354
rxvm,7,overall_C_vs_A,A,C,2,3,1222571,1198964,-1.930931,8.19,8.35,+1.953602
rxvm,8,infrastructure_B_vs_A,A,B,1,3,1193140,1185157,-0.669075,8.39,8.45,+0.715137
rxvm,8,corrected_product_C_vs_B,B,C,3,2,1185157,1229245,+3.720013,8.45,8.15,-3.550296
rxvm,8,overall_C_vs_A,A,C,1,2,1193140,1229245,+3.026049,8.39,8.15,-2.860548
rxvm,9,infrastructure_B_vs_A,A,B,3,2,1191794,1193649,+0.155648,8.40,8.39,-0.119048
rxvm,9,corrected_product_C_vs_B,B,C,2,1,1193649,1203833,+0.853182,8.39,8.32,-0.834327
rxvm,9,overall_C_vs_A,A,C,3,1,1191794,1203833,+1.010158,8.40,8.32,-0.952381
rxvm,10,infrastructure_B_vs_A,A,B,2,3,1200393,1185010,-1.281497,8.34,8.45,+1.318945
rxvm,10,corrected_product_C_vs_B,B,C,3,1,1185010,1195391,+0.876026,8.45,8.38,-0.828402
rxvm,10,overall_C_vs_A,A,C,2,1,1200393,1195391,-0.416697,8.34,8.38,+0.479616
rxvm,11,infrastructure_B_vs_A,A,B,3,1,1208099,1200151,-0.657893,8.29,8.35,+0.723764
rxvm,11,corrected_product_C_vs_B,B,C,1,2,1200151,1195413,-0.394784,8.35,8.38,+0.359281
rxvm,11,overall_C_vs_A,A,C,3,2,1208099,1195413,-1.050080,8.29,8.38,+1.085645
rxvm,12,infrastructure_B_vs_A,A,B,1,2,1195131,1166179,-2.422496,8.38,8.59,+2.505967
rxvm,12,corrected_product_C_vs_B,B,C,2,3,1166179,1175105,+0.765406,8.59,8.52,-0.814901
rxvm,12,overall_C_vs_A,A,C,1,3,1195131,1175105,-1.675632,8.38,8.52,+1.670644
rxbvm,1,infrastructure_B_vs_A,A,B,1,2,1191370,1217509,+2.194029,8.41,8.23,-2.140309
rxbvm,1,corrected_product_C_vs_B,B,C,2,3,1217509,1208420,-0.746524,8.23,8.29,+0.729040
rxbvm,1,overall_C_vs_A,A,C,1,3,1191370,1208420,+1.431126,8.41,8.29,-1.426873
rxbvm,2,infrastructure_B_vs_A,A,B,3,1,1185754,1208454,+1.914394,8.45,8.29,-1.893491
rxbvm,2,corrected_product_C_vs_B,B,C,1,2,1208454,1205037,-0.282758,8.29,8.31,+0.241255
rxbvm,2,overall_C_vs_A,A,C,3,2,1185754,1205037,+1.626223,8.45,8.31,-1.656805
rxbvm,3,infrastructure_B_vs_A,A,B,2,3,1182944,1207856,+2.105932,8.47,8.29,-2.125148
rxbvm,3,corrected_product_C_vs_B,B,C,3,1,1207856,1224985,+1.418133,8.29,8.18,-1.326900
rxbvm,3,overall_C_vs_A,A,C,2,1,1182944,1224985,+3.553930,8.47,8.18,-3.423849
rxbvm,4,infrastructure_B_vs_A,A,B,3,2,1183354,1207344,+2.027289,8.46,8.30,-1.891253
rxbvm,4,corrected_product_C_vs_B,B,C,2,1,1207344,1188905,-1.527237,8.30,8.42,+1.445783
rxbvm,4,overall_C_vs_A,A,C,3,1,1183354,1188905,+0.469090,8.46,8.42,-0.472813
rxbvm,5,infrastructure_B_vs_A,A,B,1,3,1184162,1196019,+1.001299,8.46,8.38,-0.945626
rxbvm,5,corrected_product_C_vs_B,B,C,3,2,1196019,1212180,+1.351233,8.38,8.26,-1.431981
rxbvm,5,overall_C_vs_A,A,C,1,2,1184162,1212180,+2.366061,8.46,8.26,-2.364066
rxbvm,6,infrastructure_B_vs_A,A,B,2,1,1182163,1206779,+2.082285,8.47,8.30,-2.007084
rxbvm,6,corrected_product_C_vs_B,B,C,1,3,1206779,1190430,-1.354763,8.30,8.41,+1.325301
rxbvm,6,overall_C_vs_A,A,C,2,3,1182163,1190430,+0.699311,8.47,8.41,-0.708383
rxbvm,7,infrastructure_B_vs_A,A,B,2,1,1195707,1187493,-0.686958,8.38,8.43,+0.596659
rxbvm,7,corrected_product_C_vs_B,B,C,1,3,1187493,1199809,+1.037143,8.43,8.35,-0.948992
rxbvm,7,overall_C_vs_A,A,C,2,3,1195707,1199809,+0.343061,8.38,8.35,-0.357995
rxbvm,8,infrastructure_B_vs_A,A,B,1,3,1200953,1210501,+0.795035,8.34,8.27,-0.839329
rxbvm,8,corrected_product_C_vs_B,B,C,3,2,1210501,1194886,-1.289962,8.27,8.38,+1.330109
rxbvm,8,overall_C_vs_A,A,C,1,2,1200953,1194886,-0.505182,8.34,8.38,+0.479616
rxbvm,9,infrastructure_B_vs_A,A,B,3,2,1197745,1179459,-1.526702,8.36,8.49,+1.555024
rxbvm,9,corrected_product_C_vs_B,B,C,2,1,1179459,1226113,+3.955542,8.49,8.17,-3.769140
rxbvm,9,overall_C_vs_A,A,C,3,1,1197745,1226113,+2.368451,8.36,8.17,-2.272727
rxbvm,10,infrastructure_B_vs_A,A,B,2,3,1204268,1186657,-1.462382,8.32,8.44,+1.442308
rxbvm,10,corrected_product_C_vs_B,B,C,3,1,1186657,1192560,+0.497448,8.44,8.40,-0.473934
rxbvm,10,overall_C_vs_A,A,C,2,1,1204268,1192560,-0.972209,8.32,8.40,+0.961538
rxbvm,11,infrastructure_B_vs_A,A,B,3,1,1141571,1169903,+2.481843,8.77,8.56,-2.394527
rxbvm,11,corrected_product_C_vs_B,B,C,1,2,1169903,1194077,+2.066325,8.56,8.39,-1.985981
rxbvm,11,overall_C_vs_A,A,C,3,2,1141571,1194077,+4.599451,8.77,8.39,-4.332953
rxbvm,12,infrastructure_B_vs_A,A,B,1,2,1132265,1193073,+5.370474,8.84,8.39,-5.090498
rxbvm,12,corrected_product_C_vs_B,B,C,2,3,1193073,1166013,-2.268093,8.39,8.59,+2.383790
rxbvm,12,overall_C_vs_A,A,C,1,3,1132265,1166013,+2.980574,8.84,8.59,-2.828054
