vm_mode,cell,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,A,12,1197762.000,1199420.917,1186949,1222571,8.365,8.350,8.19,8.44
rxvm,B,12,1197193.000,1197649.250,1166179,1219085,8.370,8.365,8.22,8.59
rxvm,C,12,1206913.000,1208681.333,1175105,1232437,8.300,8.289,8.13,8.52
rxbvm,A,12,1184958.000,1181854.667,1132265,1204268,8.455,8.478,8.32,8.84
rxbvm,B,12,1201399.000,1197587.250,1169903,1217509,8.340,8.364,8.23,8.56
rxbvm,C,12,1197347.500,1200284.583,1166013,1226113,8.365,8.346,8.17,8.59
