phase,round,vm,kind,variant,position,elapsed_us,items_per_second,checksum
warmup,1,rxbvm,float-read,wrapper-float-read,1,14174,141103428,1000000
warmup,1,rxbvm,float-read,direct-float-read,2,11255,177698800,1000000
warmup,1,rxbvm,float-write,wrapper-float-write,3,19603,102025200,200019
warmup,1,rxbvm,float-write,direct-float-write,4,36406,54935999,200019
warmup,1,rxbvm,int-read,wrapper-int-read,5,11672,171350239,2000000
warmup,1,rxbvm,int-read,direct-int-read,6,12760,156739811,2000000
warmup,1,rxbvm,int-read,encoded-int-read,7,21267,94042413,2000000
warmup,1,rxbvm,int-write,wrapper-int-write,8,11154,179307871,200019
warmup,1,rxbvm,int-write,direct-int-write,9,19330,103466114,200019
warmup,1,rxbvm,int-write,encoded-int-write,10,36625,54607508,200019
warmup,1,rxtvm,float-read,wrapper-float-read,11,10469,191040213,1000000
warmup,1,rxtvm,float-read,direct-float-read,12,10940,182815356,1000000
warmup,1,rxtvm,float-write,wrapper-float-write,13,23654,84552295,200019
warmup,1,rxtvm,float-write,direct-float-write,14,37210,53748992,200019
warmup,1,rxtvm,int-read,wrapper-int-read,15,10710,186741363,2000000
warmup,1,rxtvm,int-read,direct-int-read,16,10719,186584569,2000000
warmup,1,rxtvm,int-read,encoded-int-read,17,23981,83399357,2000000
warmup,1,rxtvm,int-write,wrapper-int-write,18,9943,201146535,200019
warmup,1,rxtvm,int-write,direct-int-write,19,21672,92284976,200019
warmup,1,rxtvm,int-write,encoded-int-write,20,38134,52446635,200019
