rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6110000,14,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R7;r2=R27;r3=R43;c1=label@1289;r4=R8;r5=R42;r6=R6;c2=int:32","rxjson",1226
2,3880000,2,1,8,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRF_ID_REG(c3,r5)","c1=label@10151;r1=R26;r2=R27;r3=R3;r4=R103;r5=R28;c2=int:34;c3=label@9535","rxjson",9509
3,2230000,12,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4) | IEQ_REG_REG_INT(r4,r1,c3)","r1=R8;r2=R42;r3=R27;r4=R6;c1=int:32;c2=label@1248;c3=int:9","rxjson",1233
4,2230000,12,1,8,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2) | BRT_ID_REG(c3,r5)","c1=label@1289;r1=R7;r2=R8;r3=R42;r4=R27;r5=R6;c2=int:32;c3=label@1248","rxjson",1230
5,2125000,11,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1) | IEQ_REG_REG_INT(r3,r2,c4)","c1=label@1248;r1=R6;r2=R8;c2=int:9;c3=label@1259;r3=R5;c4=int:10","rxjson",1241
6,2125000,11,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRT_ID_REG(c4,r1)","r1=R6;r2=R8;c1=int:32;c2=label@1248;c3=int:9;c4=label@1259","rxjson",1237
7,2125000,11,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r2,c3) | BRTF_ID_ID_REG(c4,c5,r3)","r1=R6;r2=R8;c1=int:9;c2=label@1259;r3=R5;c3=int:10;c4=label@1273;c5=label@1265","rxjson",1244
8,1315000,10,1,6,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@1307;r1=R8;r2=R33;r3=R27;c2=int:93;c3=label@1318","rxjson",1296
9,1315000,10,1,6,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | IEQ_REG_REG_INT(r1,r1,c2)","r1=R8;r2=R27;r3=R37;c1=label@1307;r4=R33;c2=int:93","rxjson",1292
10,1165000,5,1,7,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r6,r1,r4)","r1=R21;r2=R101;r3=R13;r4=R103;r5=R102;c1=label@9440;r6=R14","rxjson",9374
11,1070000,8,1,7,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r6,r3) | BRF_ID_REG(c1,r5)","r1=R39;r2=R1;r3=R40;r4=R2;r5=R37;r6=R8;c1=label@1143","rxjson",1074
12,960000,6,1,7,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r5,r6,r4)","r1=R43;r2=R28;r3=R7;r4=R27;c1=label@1289;r5=R8;r6=R42","rxjson",1223
13,655000,6,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R58;r2=R33;r3=R27;c1=int:44;c2=label@1589;c3=int:1","rxjson",1499
14,655000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | BGETU8_REG_REG_REG(r3,r4,r2) | IEQ_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R4;r2=R103;r3=R15;r4=R101;r5=R14;c1=int:34;c2=label@10198","rxjson",9449
15,655000,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","c1=int:18;c2=int:1;r1=R21;r2=R101;r3=R13;r4=R103;r5=R102;c3=label@9440","rxjson",9370
16,655000,4,1,20,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r5,c1,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14) | SWAPCALL_REG_FUNC_REG_REG_REG(r15,c2,r16,r17,r18)","r1=R3;c1=int:256;r2=R30;r3=R0;r4=R31;r5=R4;r6=R32;r7=R6;r8=R33;r9=R34;r10=R10;r11=R35;r12=R11;r13=R36;r14=R12;r15=R38;c2=func@2271296;r16=R24;r17=R13;r18=R37","rxjson",1010
17,630000,3,1,6,candidate,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@9487;r1=R26;r2=R3;r3=R103;c2=int:34;c3=label@9498","rxjson",9476
18,630000,3,1,6,candidate,"IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | INE_REG_REG_INT(r1,r1,c2)","r1=R26;r2=R103;r3=R0;c1=label@9487;r4=R3;c2=int:34","rxjson",9472
19,610000,2,1,21,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9,r10,r11) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r12,c2,r13,r14,r15) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r16,c2,r17,r18,r19)","r1=R70;c1=int:13;r2=R58;c2=int:256;r3=R71;r4=R72;r5=R57;r6=R73;r7=R103;r8=R74;r9=R50;r10=R75;r11=R55;r12=R53;r13=R76;r14=R52;r15=R77;r16=R54;r17=R78;r18=R56;r19=R79","rxjson",10542
20,610000,2,1,23,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r9,c1,r10,r11,r12) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r13,c1,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22)","r1=R72;r2=R57;r3=R73;r4=R103;r5=R74;r6=R50;r7=R75;r8=R55;r9=R53;c1=int:256;r10=R76;r11=R52;r12=R77;r13=R54;r14=R78;r15=R56;r16=R79;r17=R80;r18=R110;r19=R81;r20=R111;r21=R82;r22=R112","rxjson",10548
21,610000,2,1,26,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22,r23,r24) | SWAP_REG_REG(r25,r26)","r1=R58;r2=R71;r3=R57;r4=R72;r5=R103;r6=R73;r7=R50;r8=R74;r9=R55;r10=R75;r11=R53;r12=R76;r13=R52;r14=R77;r15=R54;r16=R78;r17=R56;r18=R79;r19=R110;r20=R80;r21=R111;r22=R81;r23=R112;r24=R82;r25=R113;r26=R83","rxjson",10582
22,610000,2,1,20,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAP_REG_REG(r17,r18) | IEQ_REG_REG_INT(r18,r19,c1)","r1=R55;r2=R75;r3=R53;r4=R76;r5=R52;r6=R77;r7=R54;r8=R78;r9=R56;r10=R79;r11=R110;r12=R80;r13=R111;r14=R81;r15=R112;r16=R82;r17=R113;r18=R83;r19=R46;c1=int:0","rxjson",10591
23,610000,2,1,13,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAP_REG_REG(r9,r10) | IEQ_REG_REG_INT(r10,r11,c1) | BRF_ID_REG(c2,r10)","r1=R56;r2=R79;r3=R110;r4=R80;r5=R111;r6=R81;r7=R112;r8=R82;r9=R113;r10=R83;r11=R46;c1=int:0;c2=label@10624","rxjson",10600
24,480000,3,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | IADD_REG_REG_INT(r3,r3,c3)","r1=R27;r2=R3;r3=R103;r4=R28;c1=int:34;c2=label@9535;c3=int:1","rxjson",9512
25,480000,2,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r7,r4)","r1=R34;c1=int:1;r2=R59;r3=R33;r4=R60;r5=R28;r6=R57;r7=R27","rxjson",1419
26,475000,3,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r1,r4)","r1=R27;c1=int:1;r2=R62;r3=R33;r4=R63;r5=R28;r6=R54","rxjson",1510
27,460000,2,1,6,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | LOAD_REG_INT(r3,c2) | ICOPY_REG_REG(r4,r3)","c1=label@9535;r1=R28;r2=R103;c2=int:1;r3=R29;r4=R43","rxjson",9520
28,460000,2,1,7,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IGTE_REG_REG_REG(r5,r6,r3) | BRT_ID_REG(c1,r5)","r1=R3;r2=R101;r3=R0;r4=R102;r5=R26;r6=R103;c1=label@9487","rxjson",9466
29,460000,2,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2) | BR_ID(c2)","r1=R103;c1=int:1;r2=R29;r3=R43;c2=label@10159","rxjson",9523
30,460000,2,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c3,r3)","r1=R103;c1=int:1;r2=R13;c2=int:0;r3=R26;r4=R0;c3=label@10151","rxjson",9498
31,460000,2,1,6,candidate,"ICOPY_REG_REG(r1,r2) | IGTE_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r3,r5,r4)","r1=R0;r2=R102;r3=R26;r4=R103;c1=label@9487;r5=R3","rxjson",9469
32,460000,2,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | LOAD_REG_INT(r4,c3)","r1=R28;r2=R27;c1=int:34;c2=label@9535;r3=R103;c3=int:1;r4=R29","rxjson",9516
33,460000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | IGTE_REG_REG_REG(r6,r7,r4)","r1=R13;c1=int:0;r2=R3;r3=R101;r4=R0;r5=R102;r6=R26;r7=R103","rxjson",9463
