workload,pairs,paired_mean_percent,ci95_low_percent,ci95_high_percent,paired_median_percent,favorable_pairs
Sieve,12,1.707261,1.228974,2.185549,1.580186,12
Richards,12,0.762362,-0.241920,1.766644,0.365639,7
Towers,12,2.795655,1.404128,4.187181,3.334917,11
RexxCPS,12,1.029632,0.506727,1.552537,1.072671,11
Pooled core four,48,1.573727,1.103014,2.044441,1.564482,41

