module	callable	return_type	arguments	inline_payload
_address	_rxsysb.addressdriverregistry.§factory	._rxsysb..addressdriverregistry		I6
_address	_rxsysb.addressdriverregistry.add	.void	driver=.string,aliases=.string,prefixes=.string	none
_address	_rxsysb.addressdriverregistry.lookup	.string	name=.string	none
_address	_rxsysb.addressdriverregistry.drivers	.string		none
_address	_rxsysb.standardaddressstem.§factory	._rxsysb..standardaddressstem		I6
_address	_rxsysb.standardaddressstem.get	.string	name=.string	none
_address	_rxsysb.standardaddressstem.set	.void	name=.string,value=.string	none
_address	_rxsysb.standardaddressstem.drop	.void	name=.string	none
_address	_rxsysb.standardaddressstem.exists	.int	name=.string	none
_address	_rxsysb.standardaddressstem.next	.string	cursor=.int	none
_address	_rxsysb.addressbinding.§factory	._rxsysb..addressbinding	\?kind=.string,\?internal_name=.string,\?external_alias=.string,\?value=.string,\?flags=.string	none
_address	_rxsysb.addressbinding.get_kind	.string		I6
_address	_rxsysb.addressbinding.get_internal_name	.string		I6
_address	_rxsysb.addressbinding.get_external_alias	.string		I6
_address	_rxsysb.addressbinding.get_value	.string		I6
_address	_rxsysb.addressbinding.get_value_object	._rxsysb..addressstem		none
_address	_rxsysb.addressbinding.get_stem_value	.string	name=.string	none
_address	_rxsysb.addressbinding.set_stem_value	.void	name=.string,value=.string	none
_address	_rxsysb.addressbinding.get_flags	.string		I6
_address	_rxsysb.standardaddresssandbox.§factory	._rxsysb..standardaddresssandbox		I6
_address	_rxsysb.standardaddresssandbox.get	.string	name=.string	none
_address	_rxsysb.standardaddresssandbox.set	.void	name=.string,value=.string	none
_address	_rxsysb.standardaddresssandbox.drop	.void	name=.string	none
_address	_rxsysb.standardaddresssandbox.exists	.int	name=.string	none
_address	_rxsysb.standardaddresssandbox.next	.string	cursor=.int	none
_address	_rxsysb.addressrequest.§factory	._rxsysb..addressrequest	\?environment_name=.string,\?command=.string,stdin_endpoint=.binary,stdout_endpoint=.binary,stderr_endpoint=.binary,\?flags=.string	none
_address	_rxsysb.addressrequest.get_environment_name	.string		I6
_address	_rxsysb.addressrequest.set_environment_name	.void	environment_name=.string	I6
_address	_rxsysb.addressrequest.get_command	.string		I6
_address	_rxsysb.addressrequest.set_command	.void	command=.string	I6
_address	_rxsysb.addressrequest.get_stdin_endpoint	.binary		none
_address	_rxsysb.addressrequest.set_stdin_endpoint	.void	stdin_endpoint=.binary	none
_address	_rxsysb.addressrequest.get_stdout_endpoint	.binary		none
_address	_rxsysb.addressrequest.set_stdout_endpoint	.void	stdout_endpoint=.binary	none
_address	_rxsysb.addressrequest.get_stderr_endpoint	.binary		none
_address	_rxsysb.addressrequest.set_stderr_endpoint	.void	stderr_endpoint=.binary	none
_address	_rxsysb.addressrequest.get_flags	.string		I6
_address	_rxsysb.addressrequest.get_sandbox	._rxsysb..addresssandbox		none
_address	_rxsysb.addressrequest.set_sandbox	.void	sandbox=.addresssandbox	none
_address	_rxsysb.addressrequest.get_sandbox_value	.string	name=.string	none
_address	_rxsysb.addressrequest.set_sandbox_value	.void	name=.string,value=.string	none
_address	_rxsysb.addressrequest.add_binding	.void	\?kind=.string,internal_name=.string,external_alias=.string,value=.string,\?flags=.string	none
_address	_rxsysb.addressrequest.add_stem_binding_plan	.void	internal_name=.string,external_alias=.string,stem=.addressstem	none
_address	_rxsysb.addressrequest.add_binding_plan	.void	binding=.addressbinding	none
_address	_rxsysb.addressrequest.get_binding_count	.int		I6
_address	_rxsysb.addressrequest.get_binding	._rxsysb..addressbinding	index=.int	none
_address	_rxsysb.addressrequest.get_binding_value	.string	name=.string	none
_address	_rxsysb.addressrequest.get_binding_stem_value	.string	index=.int,name=.string	none
_address	_rxsysb.addressrequest.set_binding_stem_value	.void	index=.int,name=.string,value=.string	none
_address	_rxsysb.addressresponse.§factory	._rxsysb..addressresponse	\?rc=.int,\?condition_name=.string	I6
_address	_rxsysb.addressresponse.get_rc	.int		I6
_address	_rxsysb.addressresponse.set_rc	.void	rc=.int	I6
_address	_rxsysb.addressresponse.get_condition_name	.string		I6
_address	_rxsysb.addressresponse.set_condition_name	.void	condition_name=.string	I6
_address	_rxsysb.addressresponse.add_diagnostic	.void	text=.string	none
_address	_rxsysb.addressresponse.get_diagnostic_count	.int		I6
_address	_rxsysb.addressresponse.get_diagnostic	.string	index=.int	none
_address	_rxsysb.addressresponse.add_updated_binding	.void	\?kind=.string,internal_name=.string,external_alias=.string,value=.string,\?flags=.string	none
_address	_rxsysb.addressresponse.add_updated_binding_plan	.void	binding=.addressbinding	none
_address	_rxsysb.addressresponse.get_updated_binding_count	.int		I6
_address	_rxsysb.addressresponse.get_updated_binding	._rxsysb..addressbinding	index=.int	none
_address	_rxsysb.addressfunctionrequest.§factory	._rxsysb..addressfunctionrequest	environment_name=.string,function_name=.string,arguments=.string[*],sandbox=.addresssandbox,\?flags=.string	none
_address	_rxsysb.addressfunctionrequest.get_environment_name	.string		I6
_address	_rxsysb.addressfunctionrequest.get_function_name	.string		I6
_address	_rxsysb.addressfunctionrequest.get_argument_count	.int		none
_address	_rxsysb.addressfunctionrequest.get_argument	.string	index=.int	none
_address	_rxsysb.addressfunctionrequest.get_sandbox	._rxsysb..addresssandbox		none
_address	_rxsysb.addressfunctionrequest.get_flags	.string		I6
