module	opt_instructions	opt_peak_locals	opt_rxas_bytes	opt_rxbin_bytes	noopt_instructions	noopt_peak_locals	noopt_rxas_bytes	noopt_rxbin_bytes	I6
length	8	2	2663	2040	8	2	2662	2040	yes
substr	72	17	43165	12496	72	17	43162	12496	yes
left	43	12	23657	8064	43	12	23652	8064	yes
right	44	12	24714	8288	44	12	24710	8288	yes
word	42	12	24018	8152	42	12	24007	8160	yes
words	24	6	3825	2664	24	6	3825	2664	no
wordpos	115	27	24046	10520	115	27	24046	10520	no
pos	23	5	9788	4000	24	5	9796	4008	yes
lastpos	52	10	8452	4384	52	10	8463	4384	no
upper	4	2	2663	2048	4	2	2663	2048	yes
lower	8	2	2683	2008	8	2	2683	2008	yes
datatype	620	49	88308	30271	503	38	71085	25561	no
b2d	69	16	12664	6296	76	19	13939	6744	no
b2x	70	18	13699	6768	77	21	14909	7232	no
c2d	13	5	6548	3376	13	5	6546	3376	yes
c2x	17	7	7757	3744	17	7	7755	3744	yes
d2b	29	10	16018	6207	33	11	16320	6271	yes
d2c	28	7	14316	5232	28	7	14294	5224	yes
d2x	58	17	35168	11312	63	18	35508	11400	yes
x2b	83	19	14959	6776	88	20	15587	6992	no
x2c	87	18	15180	6800	94	19	15943	7032	no
x2d	193	30	35592	13656	211	23	39709	15812	no
