vm,round,position,variant,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
rxbvm,01,1,full,warmup,1,8583214000,0,pass,1166442,cREXX clauses per second
rxbvm,01,1,full,recorded,1,8542588000,0,pass,1171847,cREXX clauses per second
rxbvm,01,2,direct-only,warmup,1,8539447000,0,pass,1172162,cREXX clauses per second
rxbvm,01,2,direct-only,recorded,1,8567203000,0,pass,1168335,cREXX clauses per second
rxbvm,01,3,original,warmup,1,8599741000,0,pass,1163927,cREXX clauses per second
rxbvm,01,3,original,recorded,1,8476645000,0,pass,1180836,cREXX clauses per second
rxbvm,02,1,direct-only,recorded,1,8528025000,0,pass,1174025,cREXX clauses per second
rxbvm,02,2,original,recorded,1,8400156000,0,pass,1191639,cREXX clauses per second
rxbvm,02,3,full,recorded,1,8551077000,0,pass,1170578,cREXX clauses per second
rxbvm,03,1,original,recorded,1,8679133000,0,pass,1153600,cREXX clauses per second
rxbvm,03,2,full,recorded,1,8460290000,0,pass,1183146,cREXX clauses per second
rxbvm,03,3,direct-only,recorded,1,8611912000,0,pass,1162284,cREXX clauses per second
rxbvm,04,1,direct-only,recorded,1,8476303000,0,pass,1180837,cREXX clauses per second
rxbvm,04,2,full,recorded,1,8597174000,0,pass,1164211,cREXX clauses per second
rxbvm,04,3,original,recorded,1,8466646000,0,pass,1182173,cREXX clauses per second
rxbvm,05,1,original,recorded,1,8550789000,0,pass,1170538,cREXX clauses per second
rxbvm,05,2,direct-only,recorded,1,8525848000,0,pass,1174014,cREXX clauses per second
rxbvm,05,3,full,recorded,1,8597823000,0,pass,1164791,cREXX clauses per second
rxvm,01,1,original,warmup,1,8377252000,0,pass,1194906,cREXX clauses per second
rxvm,01,1,original,recorded,1,8384897000,0,pass,1193745,cREXX clauses per second
rxvm,01,2,direct-only,warmup,1,8368246000,0,pass,1196133,cREXX clauses per second
rxvm,01,2,direct-only,recorded,1,8511303000,0,pass,1176091,cREXX clauses per second
rxvm,01,3,full,warmup,1,8442492000,0,pass,1185626,cREXX clauses per second
rxvm,01,3,full,recorded,1,8513463000,0,pass,1175795,cREXX clauses per second
rxvm,02,1,full,recorded,1,8461933000,0,pass,1183258,cREXX clauses per second
rxvm,02,2,original,recorded,1,8484083000,0,pass,1179818,cREXX clauses per second
rxvm,02,3,direct-only,recorded,1,8442604000,0,pass,1185639,cREXX clauses per second
rxvm,03,1,direct-only,recorded,1,8507322000,0,pass,1176964,cREXX clauses per second
rxvm,03,2,full,recorded,1,8416426000,0,pass,1189279,cREXX clauses per second
rxvm,03,3,original,recorded,1,8460452000,0,pass,1183143,cREXX clauses per second
rxvm,04,1,original,recorded,1,8388523000,0,pass,1193570,cREXX clauses per second
rxvm,04,2,full,recorded,1,8521621000,0,pass,1174541,cREXX clauses per second
rxvm,04,3,direct-only,recorded,1,8439615000,0,pass,1186005,cREXX clauses per second
rxvm,05,1,full,recorded,1,8549366000,0,pass,1170768,cREXX clauses per second
rxvm,05,2,direct-only,recorded,1,8690637000,0,pass,1151703,cREXX clauses per second
rxvm,05,3,original,recorded,1,8452973000,0,pass,1184117,cREXX clauses per second
