vm,round,comparison,baseline_variant,candidate_variant,metric_change_percent,elapsed_change_percent
rxvm,01,direct-only-vs-original,original,direct-only,-1.479,1.508
rxvm,01,full-vs-direct-only,direct-only,full,-0.025,0.025
rxvm,01,full-vs-original,original,full,-1.504,1.533
rxvm,02,direct-only-vs-original,original,direct-only,0.493,-0.489
rxvm,02,full-vs-direct-only,direct-only,full,-0.201,0.229
rxvm,02,full-vs-original,original,full,0.292,-0.261
rxvm,03,direct-only-vs-original,original,direct-only,-0.522,0.554
rxvm,03,full-vs-direct-only,direct-only,full,1.046,-1.068
rxvm,03,full-vs-original,original,full,0.519,-0.520
rxvm,04,direct-only-vs-original,original,direct-only,-0.634,0.609
rxvm,04,full-vs-direct-only,direct-only,full,-0.967,0.972
rxvm,04,full-vs-original,original,full,-1.594,1.587
rxvm,05,direct-only-vs-original,original,direct-only,-2.737,2.812
rxvm,05,full-vs-direct-only,direct-only,full,1.655,-1.626
rxvm,05,full-vs-original,original,full,-1.127,1.140
rxbvm,01,direct-only-vs-original,original,direct-only,-1.059,1.068
rxbvm,01,full-vs-direct-only,direct-only,full,0.301,-0.287
rxbvm,01,full-vs-original,original,full,-0.761,0.778
rxbvm,02,direct-only-vs-original,original,direct-only,-1.478,1.522
rxbvm,02,full-vs-direct-only,direct-only,full,-0.294,0.270
rxbvm,02,full-vs-original,original,full,-1.767,1.797
rxbvm,03,direct-only-vs-original,original,direct-only,0.753,-0.775
rxbvm,03,full-vs-direct-only,direct-only,full,1.795,-1.761
rxbvm,03,full-vs-original,original,full,2.561,-2.521
rxbvm,04,direct-only-vs-original,original,direct-only,-0.113,0.114
rxbvm,04,full-vs-direct-only,direct-only,full,-1.408,1.426
rxbvm,04,full-vs-original,original,full,-1.519,1.542
rxbvm,05,direct-only-vs-original,original,direct-only,0.297,-0.292
rxbvm,05,full-vs-direct-only,direct-only,full,-0.786,0.844
rxbvm,05,full-vs-original,original,full,-0.491,0.550
