vm,variant,n,median_elapsed_ns,min_elapsed_ns,max_elapsed_ns,median_metric,min_metric,max_metric
rxvm,original,5,8452973000,8384897000,8484083000,1184117,1179818,1193745
rxvm,direct-only,5,8507322000,8439615000,8690637000,1176964,1151703,1186005
rxvm,full,5,8513463000,8416426000,8549366000,1175795,1170768,1189279
rxbvm,original,5,8476645000,8400156000,8679133000,1180836,1153600,1191639
rxbvm,direct-only,5,8528025000,8476303000,8611912000,1174014,1162284,1180837
rxbvm,full,5,8551077000,8460290000,8597823000,1170578,1164211,1183146
