vm,comparison,baseline_variant,candidate_variant,metric_change_percent,elapsed_change_percent
rxvm,direct-only-vs-original,original,direct-only,-0.604,0.643
rxvm,full-vs-direct-only,direct-only,full,-0.099,0.072
rxvm,full-vs-original,original,full,-0.703,0.716
rxbvm,direct-only-vs-original,original,direct-only,-0.578,0.606
rxbvm,full-vs-direct-only,direct-only,full,-0.293,0.270
rxbvm,full-vs-original,original,full,-0.869,0.878
