workload,candidate,control_median,candidate_median,ratio_higher_is_better,delta_percent,selection_role
Sieve,S1,5040.306834,5048.739741,1.001673094,+0.167309,stable-six
Sieve,S1b,5040.306834,5070.227956,1.005936369,+0.593637,stable-six
Sieve,S2,5040.306834,5061.518714,1.004208450,+0.420845,stable-six
Permute,S1,2865.518714,2834.955514,0.989334147,-1.066585,stable-six
Permute,S1b,2865.518714,2848.655855,0.994115251,-0.588475,stable-six
Permute,S2,2865.518714,2866.352189,1.000290864,+0.029086,stable-six
Bounce,S1,3994.735789,3991.807914,0.999267067,-0.073293,stable-six
Bounce,S1b,3994.735789,4031.035147,1.009086798,+0.908680,stable-six
Bounce,S2,3994.735789,3985.888374,0.997785231,-0.221477,stable-six
Richards,S1,8.747078,8.700892,0.994719837,-0.528016,stable-six
Richards,S1b,8.747078,8.744292,0.999681494,-0.031851,stable-six
Richards,S2,8.747078,8.762978,1.001817750,+0.181775,stable-six
Base64,S1,1268346500.000000,1424331000.000000,0.890485779,-10.951422,recorded-noisy-nonselector
Base64,S1b,1268346500.000000,1368805500.000000,0.926608273,-7.339173,recorded-noisy-nonselector
Base64,S2,1268346500.000000,1376227500.000000,0.921611071,-7.838893,recorded-noisy-nonselector
Towers,S1,45.286091,45.164777,0.997321164,-0.267884,stable-six
Towers,S1b,45.286091,45.772963,1.010751027,+1.075103,stable-six
Towers,S2,45.286091,46.050874,1.016887812,+1.688781,stable-six
RexxCPS,S1,48929208.500000,48759218.500000,0.996525797,-0.347420,stable-six
RexxCPS,S1b,48929208.500000,49283023.000000,1.007231151,+0.723115,stable-six
RexxCPS,S2,48929208.500000,49559711.000000,1.012886015,+1.288601,stable-six
stable-six,S1,,,0.996466012,-0.353399,screen-geomean
stable-six,S1b,,,1.004450318,+0.445032,screen-geomean
stable-six,S2,,,1.005622382,+0.562238,screen-geomean
