path,sha256,role
assembler/rxas_flow.c,5876a3a24103d046c1881cac5510fcc7fd0fa39a8e8335c9c4f4000d8583b9a9,locked_p1_storage_and_typed_continuation_infrastructure
compiler/rxcp_inline_bind.c,78d0285b03e113d751a87b30f425b03e8e39799fb73ac9f9acac38b4d85f4135,c1a_c1b_c1c_production_proofs
compiler/rxcp_inline_clone.c,0dc027d8b8347f9da3742461d3578d0f77f4588cdcf70db438ebc01465d5622f,c1b_clone_support
compiler/rxcp_inline_internal.h,2beb6d2a1bf724d98f149d02dce53c0ccb6277c8b60b32cb27eb1357c055e947,c1b_internal_contract
compiler/rxcp_inline_rewrite.c,5459a9872e82fd1e8ec33ee06131582b58aa60183d650af31c24386daec2b72d,c1b_c1c_rewrite_proofs
compiler/tests/rexx_src/inline_receiver_guard_dep.crexx,22adc49b95d9159a7bda0052ece7e63d4403d4a522fda7b724c0f1b3d23ed165,c1b_imported_guard_fixture
compiler/tests/rexx_src/inline_receiver_guard_local.crexx,bb1594581c8917b2f8a24648a8b98d81abe6aaaac55d0896ffa33268d75588c3,c1b_local_guard_fixture
compiler/tests/rexx_src/inline_receiver_guard_main.crexx,1b5ae041779149faeb95b955e890a2ac5729d3799e641f9e36a3a0b4aa604e89,c1b_import_driver_fixture
compiler/tests/rexx_src/inline_receiver_production_ladder.crexx,35df1c310f8f72c8bdfe562c8129cc96483cdee5e6376f5b673b3211e3e06c44,c1a_c1c_positive_and_reference_negative_fixture
compiler/tests/run_inline_receiver_guard_opt.cmake,e93c5f16562f7ec2b527f01d1306084509c07620d49ff46e77a9b218e821a6e9,c1b_structural_runtime_gate
compiler/tests/run_inline_receiver_production_ladder.cmake,c2f6da5617b98862e26630ce410e7968358565e2f675257016266c640c6af5a3,c1a_c1c_structural_runtime_gate
performance/evidence/2026-07-15-nr-02-portfolio-expansion/lifecycle/crexx/lifecycle_probe.rxbin,447350ecd62f33d441b1ffe82600fa50acc23f318724d87e4ec079a207c187ed,protected_pre_existing_image
performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/crexx/lifecycle_probe.rxbin,19216070c4921764404dc48d2c018ad54c3e67e401cd27cd5084f501e219b2df,protected_pre_existing_image
performance/evidence/2026-07-23-nr-16-17-closeout/final-baseline/lifecycle/crexx/lifecycle_probe.rxbin,19216070c4921764404dc48d2c018ad54c3e67e401cd27cd5084f501e219b2df,protected_pre_existing_image
performance/evidence/2026-07-23-perf2-01-current-baseline/04-lifecycle-rss/lifecycle/crexx/lifecycle_probe.rxbin,19216070c4921764404dc48d2c018ad54c3e67e401cd27cd5084f501e219b2df,protected_pre_existing_image
performance/evidence/2026-07-27-perf2-06-07-selection-panel/raw/lifecycle/crexx/lifecycle_probe.rxbin,19216070c4921764404dc48d2c018ad54c3e67e401cd27cd5084f501e219b2df,protected_pre_existing_image
