entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,warmup,1,25488000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,24787000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,2,25547000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,3,24473000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,warmup,1,23386000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,23645000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,2,23898000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,3,23698000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,warmup,1,399962000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,365174000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,2,377711000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,3,398513000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,warmup,1,417652000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,359791000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,2,389054000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,3,416440000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,warmup,1,71036000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,69140000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,2,61788000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,3,57933000,0,pass
richards-opt,richards,Richards,candidate,opt,process,warmup,1,818688000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,632729000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,2,656396000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,3,695621000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,warmup,1,426830000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,546132000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,2,390531000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,3,499289000,0,pass
base64-opt,base64,Base64,candidate,opt,process,warmup,1,393976000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,500455000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,2,386628000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,3,452153000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,warmup,1,430143000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,461563000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,2,362865000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,3,412047000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,warmup,1,397196000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,468628000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,2,408565000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,3,421376000,0,pass
